Time sec,Strain 1 %,,Time res,,Resistencia
121.226,-2.714602,,57524.5,234.59,0.028501
122.226,-2.753176,,57525.7,235.79,0.028569
123.226,-2.790167,,57526.91,237,0.028672
124.226,-2.828988,,57529.31,239.4,0.028894
125.226,-2.870221,,57531.72,241.81,0.02912
126.226,-2.910715,,57534.13,244.22,0.029162
127.226,-2.952795,,57535.33,245.42,0.029286
128.226,-3.009357,,57536.53,246.62,0.029211
128.744,-3.038123,,57538.94,249.03,0.029407
128.746,-3.038287,,57541.34,251.43,0.029481
128.98,-3.047196,,57542.55,252.64,0.029398
129.196,-3.042057,,57544.95,255.04,0.029584
129.452,-3.036893,,57546.16,256.25,0.029513
129.72,-3.031131,,57547.36,257.45,0.029568
130.022,-3.025413,,57549.77,259.86,0.029866
130.306,-3.018861,,57552.17,262.26,0.029983
130.62,-3.012146,,57553.38,263.47,0.030175
130.918,-3.005034,,57554.58,264.67,0.030259
131.256,-2.997888,,57556.98,267.07,0.030419
131.574,-2.990834,,57558.19,268.28,0.030536
131.92,-2.983058,,57559.39,269.48,0.030543
132.284,-2.973451,,57561.8,271.89,0.031206
132.662,-2.964488,,57564.2,274.29,0.031507
133.068,-2.953918,,57566.61,276.7,0.031839
133.48,-2.943665,,57567.81,277.9,0.031863
133.908,-2.93214,,57570.22,280.31,0.031853
134.35,-2.920838,,57572.63,282.72,0.031931
134.8,-2.909754,,57573.83,283.92,0.031937
135.246,-2.897597,,57575.03,285.12,0.031885
135.722,-2.884759,,57577.44,287.53,0.03178
136.2,-2.872931,,57579.84,289.93,0.031742
136.702,-2.859247,,57581.05,291.14,0.031277
137.21,-2.846043,,57583.45,293.54,0.030856
137.72,-2.831906,,57584.66,294.75,0.030561
138.246,-2.818392,,57585.86,295.95,0.030338
138.782,-2.803974,,57587.06,297.15,0.03023
139.314,-2.789652,,57589.47,299.56,0.029945
139.868,-2.774317,,57591.88,301.97,0.029461
140.43,-2.75765,,57593.08,303.17,0.029447
140.994,-2.742094,,57594.28,304.37,0.029351
141.57,-2.724763,,57596.69,306.78,0.029202
142.158,-2.70642,,57599.09,309.18,0.028773
142.756,-2.688656,,57601.5,311.59,0.028627
143.362,-2.66899,,57603.91,314,0.028617
143.976,-2.64948,,57605.11,315.2,0.028796
144.604,-2.629483,,57606.31,316.4,0.028465
145.242,-2.610152,,57608.72,318.81,0.028398
145.906,-2.588991,,57611.13,321.22,0.028374
146.592,-2.567153,,57613.53,323.62,0.028555
147.31,-2.543656,,57614.73,324.82,0.028349
148.046,-2.520585,,57615.94,326.03,0.028436
148.826,-2.494769,,57617.14,327.23,0.028416
149.61,-2.469529,,57619.55,329.64,0.028388
150.404,-2.443748,,57621.95,332.04,0.028276
151.214,-2.415707,,57623.16,333.25,0.027981
152.048,-2.389373,,57624.36,334.45,0.028175
152.9,-2.36007,,57626.77,336.86,0.028194
153.786,-2.330823,,57627.97,338.06,0.028192
154.68,-2.300332,,57630.38,340.47,0.027967
155.598,-2.26989,,57631.58,341.67,0.028235
156.538,-2.237902,,57633.98,344.07,0.028177
157.486,-2.204833,,57635.19,345.28,0.028108
158.474,-2.170251,,57636.39,346.48,0.027923
159.474,-2.133848,,57638.8,348.89,0.028048
160.474,-2.099319,,57640,350.09,0.028235
161.474,-2.061959,,57641.2,351.29,0.02835
162.474,-2.026055,,57643.61,353.7,0.028225
163.474,-1.988952,,57646.02,356.11,0.028113
164.474,-1.952621,,57647.22,357.31,0.027806
165.474,-1.915841,,57648.42,358.51,0.027894
166.474,-1.878944,,57649.63,359.72,0.027988
167.474,-1.843168,,57652.03,362.12,0.027864
168.474,-1.806327,,57653.23,363.32,0.027879
169.474,-1.770367,,57655.64,365.73,0.028049
170.474,-1.735477,,57658.05,368.14,0.027835
171.474,-1.699168,,57659.25,369.34,0.027704
172.474,-1.66464,,57660.45,370.54,0.027718
173.474,-1.627734,,57662.86,372.95,0.02777
174.474,-1.592495,,57665.27,375.36,0.02778
175.474,-1.556711,,57666.47,376.56,0.028273
176.474,-1.521986,,57667.67,377.76,0.028338
177.474,-1.485248,,57668.88,378.97,0.028168
178.474,-1.449477,,57670.08,380.17,0.028153
179.474,-1.414967,,57671.28,381.37,0.028117
180.474,-1.380101,,57673.69,383.78,0.027954
181.474,-1.345999,,57676.09,386.18,0.028176
182.474,-1.311446,,57677.3,387.39,0.028299
183.474,-1.277953,,57678.5,388.59,0.028108
184.474,-1.245391,,57679.7,389.79,0.028087
185.474,-1.212237,,57680.91,391,0.028174
186.474,-1.181598,,57683.31,393.4,0.028152
187.474,-1.150424,,57685.72,395.81,0.028412
188.474,-1.120953,,57686.92,397.01,0.028191
