Time sec,Strain 1 %,,Time res,,Resistencia
944.8781,-1.431649,,59149.92,1860.01,0.033957
945.8781,-1.397906,,59152.33,1862.42,0.033565
946.8781,-1.365778,,59154.73,1864.82,0.033455
947.8781,-1.334341,,59157.14,1867.23,0.033505
948.8781,-1.304808,,59158.34,1868.43,0.033213
949.8781,-1.273333,,59159.55,1869.64,0.033329
950.8781,-1.244195,,59160.75,1870.84,0.033303
951.8781,-1.216206,,59163.16,1873.25,0.033126
952.8781,-1.187489,,59165.56,1875.65,0.033043
953.8781,-1.159396,,59166.77,1876.86,0.032734
954.8781,-1.130971,,59167.97,1878.06,0.032794
955.8781,-1.103277,,59169.17,1879.26,0.03263
956.8781,-1.077329,,59171.58,1881.67,0.032713
957.8781,-1.051312,,59173.98,1884.07,0.032527
958.8781,-1.02738,,59176.39,1886.48,0.032566
959.8781,-1.002425,,59177.59,1887.68,0.032384
960.8781,-0.9786833,,59178.8,1888.89,0.032315
961.8781,-0.9544306,,59181.2,1891.29,0.032158
962.8781,-0.9322868,,59182.41,1892.5,0.032408
963.8781,-0.9112127,,59183.61,1893.7,0.032025
964.8781,-0.891725,,59184.81,1894.9,0.032102
965.8781,-0.8729606,,59186.02,1896.11,0.032061
966.8781,-0.8550517,,59188.42,1898.51,0.031971
967.8781,-0.8394588,,59189.63,1899.72,0.03193
968.8781,-0.8237182,,59190.83,1900.92,0.031792
969.8781,-0.8111851,,59193.23,1903.32,0.031731
970.8781,-0.7990839,,59194.44,1904.53,0.03139
971.8781,-0.7885805,,59195.64,1905.73,0.031242
972.8781,-0.78021,,59198.05,1908.14,0.031071
973.8781,-0.7764611,,59199.25,1909.34,0.030998
974.8781,-0.7743068,,59200.45,1910.54,0.030992
975.8781,-0.774039,,59202.86,1912.95,0.030792
976.8781,-0.7735746,,59204.06,1914.15,0.030829
977.8781,-0.7725879,,59206.47,1916.56,0.03075
978.8781,-0.7729343,,59207.67,1917.76,0.030723
979.8781,-0.7723657,,59208.88,1918.97,0.030767
980.8781,-0.7716334,,59210.08,1920.17,0.031009
981.8781,-0.7725067,,59212.48,1922.57,0.031253
982.8781,-0.7715213,,59214.89,1924.98,0.031384
983.8781,-0.7714621,,59216.09,1926.18,0.03117
984.8781,-0.7715029,,59218.5,1928.59,0.031926
985.8781,-0.7715021,,59219.7,1929.79,0.0321
986.8781,-0.7714853,,59222.11,1932.2,0.032203
987.8781,-0.7709971,,59223.31,1933.4,0.032193
988.8781,-0.7704713,,59224.52,1934.61,0.032243
989.4821,-0.7714687,,59225.72,1935.81,0.032422
989.4841,-0.7713955,,59226.92,1937.01,0.032173
990.4841,-0.7712923,,59229.33,1939.42,0.03252
991.4841,-0.7702335,,59231.73,1941.82,0.03236
992.4841,-0.7706368,,59234.14,1944.23,0.032496
993.4841,-0.7709391,,59235.34,1945.43,0.032503
994.4841,-0.7698373,,59236.55,1946.64,0.032825
995.4841,-0.7698439,,59237.75,1947.84,0.032987
996.4841,-0.7706321,,59238.95,1949.04,0.033107
997.4841,-0.7701473,,59241.36,1951.45,0.033429
998.4841,-0.770366,,59243.77,1953.86,0.033755
999.4841,-0.7697415,,59244.97,1955.06,0.033966
1000.484,-0.770717,,59246.17,1956.26,0.034122
1001.484,-0.7705256,,59247.38,1957.47,0.034281
1002.484,-0.7704689,,59248.58,1958.67,0.034553
1003.484,-0.770543,,59250.98,1961.07,0.035101
1004.484,-0.7757882,,59253.39,1963.48,0.035556
1005.484,-0.7821114,,59254.59,1964.68,0.035964
1006.484,-0.7906654,,59255.8,1965.89,0.036138
1007.484,-0.8025964,,59258.2,1968.29,0.036588
1008.484,-0.8160791,,59259.41,1969.5,0.036952
1009.484,-0.8301715,,59260.61,1970.7,0.036961
1010.484,-0.8453533,,59261.81,1971.9,0.037138
1011.484,-0.8616838,,59264.22,1974.31,0.037604
1012.484,-0.877018,,59265.42,1975.51,0.037492
1013.484,-0.8950456,,59266.63,1976.72,0.037784
1014.484,-0.9132276,,59267.83,1977.92,0.037852
1015.484,-0.9298632,,59270.23,1980.32,0.037954
1016.484,-0.9497409,,59272.64,1982.73,0.038321
1017.484,-0.9682328,,59275.05,1985.14,0.038484
1018.484,-0.9891168,,59276.25,1986.34,0.038647
1019.484,-1.008682,,59277.45,1987.54,0.038854
1020.484,-1.029223,,59279.86,1989.95,0.038995
1021.484,-1.050704,,59282.27,1992.36,0.038833
1022.484,-1.071926,,59283.47,1993.56,0.039057
1023.484,-1.097005,,59285.88,1995.97,0.038983
1024.484,-1.121988,,59287.08,1997.17,0.038981
1025.484,-1.148453,,59289.48,1999.57,0.039064
1026.484,-1.175586,,59291.89,2001.98,0.038932
1027.484,-1.202948,,59293.09,2003.18,0.038965
1028.484,-1.23035,,59294.3,2004.39,0.039025
1029.484,-1.258902,,59295.5,2005.59,0.038938
1030.484,-1.285253,,59296.7,2006.79,0.039007
1031.484,-1.315807,,59299.11,2009.2,0.039119
1032.484,-1.345846,,59300.31,2010.4,0.039134
1033.484,-1.375022,,59302.72,2012.81,0.039077
1034.484,-1.406831,,59303.92,2014.01,0.038973
1035.484,-1.438595,,59306.33,2016.42,0.039091
1036.484,-1.471129,,59307.53,2017.62,0.038986
1037.484,-1.503507,,59309.94,2020.03,0.039107
1038.484,-1.536245,,59312.34,2022.43,0.039084
1039.484,-1.569513,,59313.55,2023.64,0.039067
1040.484,-1.603009,,59314.75,2024.84,0.039057
1041.484,-1.636373,,59315.95,2026.04,0.039348
1042.484,-1.671077,,59317.16,2027.25,0.038992
1043.484,-1.704353,,59318.36,2028.45,0.039014
1044.484,-1.737294,,59319.56,2029.65,0.038909
1045.484,-1.770902,,59320.77,2030.86,0.038366
1046.484,-1.8046,,59321.97,2032.06,0.038331
1047.484,-1.838083,,59323.17,2033.26,0.03788
1048.484,-1.87142,,59325.58,2035.67,0.037547
1049.484,-1.904735,,59327.98,2038.07,0.037374
1050.484,-1.939141,,59330.39,2040.48,0.036685
1051.484,-1.973166,,59331.59,2041.68,0.036623
1052.484,-2.012828,,59332.8,2042.89,0.036457
1053.484,-2.048182,,59334,2044.09,0.036187
1054.484,-2.082484,,59335.2,2045.29,0.035468
1055.484,-2.116886,,59337.61,2047.7,0.035418
1056.484,-2.152022,,59340.02,2050.11,0.0347
1057.484,-2.184343,,59342.42,2052.51,0.034466
1058.484,-2.218471,,59343.63,2053.72,0.034089
1059.484,-2.252533,,59344.83,2054.92,0.034349
1060.484,-2.285325,,59347.23,2057.32,0.033918
1061.484,-2.319812,,59348.44,2058.53,0.033812
1062.484,-2.352379,,59349.64,2059.73,0.033694
1063.484,-2.385963,,59352.05,2062.14,0.03344
1064.484,-2.419431,,59353.25,2063.34,0.033487
1065.484,-2.451886,,59354.45,2064.54,0.033398
1066.484,-2.484145,,59355.66,2065.75,0.033424
1067.484,-2.517448,,59356.86,2066.95,0.033073
1068.484,-2.549889,,59359.27,2069.36,0.033034
1069.482,-2.582742,,59361.67,2071.76,0.032754
1070.44,-2.614248,,59362.88,2072.97,0.032837
1071.394,-2.644991,,59364.08,2074.17,0.032912
1072.34,-2.67586,,59366.48,2076.57,0.032769
1073.318,-2.706334,,59368.89,2078.98,0.032928
1074.236,-2.734843,,59370.09,2080.18,0.032722
1075.204,-2.764775,,59371.3,2081.39,0.032736
1076.186,-2.794946,,59373.7,2083.79,0.03273
1077.148,-2.82353,,59376.11,2086.2,0.032666
1078.124,-2.852625,,59378.52,2088.61,0.032223
1079.08,-2.882475,,59379.72,2089.81,0.032234
1080.018,-2.912646,,59380.92,2091.01,0.032215
1080.94,-2.94209,,59382.13,2092.22,0.032112
1081.94,-2.974969,,59383.33,2093.42,0.031975
1082.836,-3.005169,,59385.73,2095.82,0.031715
1083.83,-3.039435,,59388.14,2098.23,0.031408
1084.83,-3.075412,,59390.55,2100.64,0.03118
1085.492,-3.100381,,59391.75,2101.84,0.031133
1085.494,-3.100442,,59392.95,2103.04,0.030997
1085.852,-3.099156,,59395.36,2105.45,0.031616
1086.09,-3.092735,,59397.77,2107.86,0.031431
1086.37,-3.087931,,59398.97,2109.06,0.031433
1086.664,-3.080802,,59400.17,2110.26,0.031748
1086.972,-3.074557,,59402.58,2112.67,0.032037
1087.28,-3.068057,,59404.98,2115.07,0.032174
1087.604,-3.062193,,59406.19,2116.28,0.032171
1087.932,-3.053539,,59407.39,2117.48,0.0325
1088.302,-3.045315,,59409.8,2119.89,0.032747
1088.674,-3.036555,,59411,2121.09,0.032812
1089.062,-3.028418,,59413.41,2123.5,0.032968
1089.476,-3.017612,,59415.81,2125.9,0.033049
1089.9,-3.006962,,59417.02,2127.11,0.033323
1090.342,-2.996304,,59418.22,2128.31,0.032917
1090.796,-2.984174,,59419.42,2129.51,0.033363
1091.272,-2.971927,,59421.83,2131.92,0.033446
1091.75,-2.959464,,59424.23,2134.32,0.033352
1092.234,-2.946847,,59425.44,2135.53,0.033316
1092.754,-2.933752,,59426.64,2136.73,0.033348
1093.276,-2.919949,,59429.05,2139.14,0.033808
1093.83,-2.905983,,59430.25,2140.34,0.033867
1094.402,-2.891128,,59431.45,2141.54,0.034052
1094.996,-2.874754,,59433.86,2143.95,0.034398
1095.598,-2.858791,,59436.27,2146.36,0.034767
1096.206,-2.84216,,59437.47,2147.56,0.035132
1096.822,-2.824647,,59438.67,2148.76,0.035217
1097.456,-2.807314,,59439.88,2149.97,0.035474
1098.092,-2.787675,,59441.08,2151.17,0.035997
1098.738,-2.769008,,59443.48,2153.57,0.036087
1099.414,-2.748198,,59445.89,2155.98,0.036861
1100.118,-2.72712,,59447.09,2157.18,0.037208
1100.826,-2.705387,,59449.5,2159.59,0.03769
1101.576,-2.682375,,59450.7,2160.79,0.037698
1102.344,-2.659544,,59453.11,2163.2,0.038193
1103.132,-2.635065,,59454.31,2164.4,0.038369
1103.946,-2.608708,,59455.52,2165.61,0.038498
1104.794,-2.58289,,59456.72,2166.81,0.038607
1105.668,-2.554797,,59457.92,2168.01,0.038705
1106.58,-2.525795,,59460.33,2170.42,0.039098
1107.498,-2.495749,,59462.73,2172.82,0.039346
1108.466,-2.463679,,59465.14,2175.23,0.039582
1109.452,-2.432259,,59466.34,2176.43,0.039863
1110.452,-2.399195,,59467.55,2177.64,0.039797
1111.452,-2.365984,,59468.75,2178.84,0.040061
1112.452,-2.332229,,59469.95,2180.04,0.039874
1113.452,-2.29911,,59472.36,2182.45,0.039859
1114.452,-2.26375,,59473.56,2183.65,0.039798
1115.452,-2.229084,,59474.77,2184.86,0.039986
1116.452,-2.194965,,59475.97,2186.06,0.03979
1117.452,-2.159736,,59477.17,2187.26,0.0399
1118.452,-2.123397,,59479.58,2189.67,0.040109
1119.452,-2.087562,,59481.98,2192.07,0.039898
1120.452,-2.050775,,59484.39,2194.48,0.039894
1121.452,-2.014828,,59485.59,2195.68,0.040097
1122.452,-1.9783,,59486.8,2196.89,0.040083
1123.452,-1.942069,,59489.2,2199.29,0.040073
1124.452,-1.906596,,59490.41,2200.5,0.040028
1125.452,-1.871896,,59491.61,2201.7,0.039952
1126.452,-1.836236,,59494.02,2204.11,0.039921
1127.452,-1.800909,,59495.22,2205.31,0.04008
1128.452,-1.765839,,59496.42,2206.51,0.039873
1129.452,-1.729467,,59498.83,2208.92,0.040093
1130.452,-1.693585,,59501.23,2211.32,0.040006
1131.452,-1.657353,,59503.64,2213.73,0.04019
1132.452,-1.621161,,59504.84,2214.93,0.040197
1133.452,-1.585947,,59507.25,2217.34,0.040059
1134.452,-1.550236,,59509.66,2219.75,0.039965
1135.452,-1.515336,,59510.86,2220.95,0.039885
1136.452,-1.480977,,59512.06,2222.15,0.039897
1137.452,-1.447961,,59513.27,2223.36,0.039641
1138.452,-1.414149,,59514.47,2224.56,0.039418
1139.452,-1.38203,,59515.67,2225.76,0.039044
1140.452,-1.350481,,59516.88,2226.97,0.038994
1141.452,-1.319969,,59518.08,2228.17,0.03841
1142.452,-1.290222,,59520.48,2230.57,0.037924
1143.452,-1.261585,,59522.89,2232.98,0.037338
1144.452,-1.232831,,59524.09,2234.18,0.037125
1145.452,-1.204101,,59526.5,2236.59,0.036414
1146.452,-1.176909,,59527.7,2237.79,0.036393
1147.452,-1.149072,,59530.11,2240.2,0.035883
1148.452,-1.122148,,59531.31,2241.4,0.035527
1149.452,-1.097238,,59532.52,2242.61,0.035094
1150.452,-1.071351,,59533.72,2243.81,0.034943
1151.452,-1.04727,,59534.92,2245.01,0.03477
1152.452,-1.02329,,59537.33,2247.42,0.03473
1153.452,-0.9995443,,59539.73,2249.82,0.034428
1154.452,-0.9767477,,59540.94,2251.03,0.034195
1155.452,-0.9552998,,59542.14,2252.23,0.034244
1156.452,-0.9354845,,59544.55,2254.64,0.034376
1157.452,-0.9161782,,59546.95,2257.04,0.033968
1158.452,-0.898473,,59549.36,2259.45,0.033777
1159.452,-0.8819199,,59550.56,2260.65,0.033427
1160.452,-0.8672422,,59551.77,2261.86,0.033552
1161.452,-0.8540077,,59554.17,2264.26,0.033591
1162.452,-0.8427481,,59555.38,2265.47,0.033474
1163.452,-0.8325902,,59556.58,2266.67,0.033317
1164.452,-0.8253747,,59558.98,2269.07,0.033309
1165.452,-0.8230884,,59560.19,2270.28,0.033291
1166.452,-0.8220055,,59561.39,2271.48,0.033248
1167.452,-0.8205178,,59563.8,2273.89,0.033297
1168.452,-0.8196697,,59566.2,2276.29,0.033123
1169.452,-0.8201914,,59568.61,2278.7,0.032776
1170.452,-0.8195081,,59569.81,2279.9,0.033103
1171.452,-0.819801,,59571.02,2281.11,0.032904
1172.452,-0.8186683,,59572.22,2282.31,0.032809
1173.452,-0.8179493,,59573.42,2283.51,0.032894
1174.452,-0.8188359,,59575.83,2285.92,0.032728
1175.452,-0.8179157,,59578.23,2288.32,0.032493
1176.452,-0.8179951,,59579.44,2289.53,0.032214
1177.452,-0.8180601,,59580.64,2290.73,0.032186
1178.452,-0.8181074,,59581.84,2291.93,0.031839
1179.452,-0.8169508,,59584.25,2294.34,0.031769
1180.452,-0.8176161,,59586.66,2296.75,0.031437
1181.452,-0.8177712,,59587.86,2297.95,0.0317
1181.502,-0.8161214,,59590.27,2300.36,0.031685
1181.504,-0.8161691,,59591.47,2301.56,0.031519
1182.504,-0.8177679,,59593.88,2303.97,0.031904
1183.504,-0.8173107,,59595.08,2305.17,0.031988
1184.504,-0.8173843,,59597.48,2307.57,0.032154
1185.504,-0.8172908,,59599.89,2309.98,0.032021
1186.504,-0.8169971,,59601.09,2311.18,0.032607
1187.504,-0.8170703,,59603.5,2313.59,0.032798
1188.504,-0.8171396,,59604.7,2314.79,0.032769
1189.504,-0.8162948,,59607.11,2317.2,0.03304
1190.504,-0.8168934,,59608.31,2318.4,0.032901
1191.504,-0.8167133,,59609.52,2319.61,0.033168
1192.504,-0.8177539,,59610.72,2320.81,0.033282
1193.504,-0.8172192,,59611.94,2322.03,0.033171
1194.504,-0.8165203,,59614.33,2324.42,0.03329
1195.504,-0.8165766,,59616.73,2326.82,0.033348
1196.504,-0.8181625,,59619.14,2329.23,0.033388
1197.504,-0.822759,,59620.34,2330.43,0.033587
1198.504,-0.8294801,,59621.55,2331.64,0.03377
1199.504,-0.8391614,,59622.75,2332.84,0.033905
1200.504,-0.8510689,,59623.95,2334.04,0.034163
1201.504,-0.8649901,,59626.36,2336.45,0.034727
1202.504,-0.8802328,,59628.77,2338.86,0.035361
1203.504,-0.8940272,,59629.97,2340.06,0.035433
1204.504,-0.9114715,,59631.17,2341.26,0.035721
1205.504,-0.9280673,,59633.58,2343.67,0.03649
1206.504,-0.946731,,59635.98,2346.07,0.036962
1207.504,-0.9628254,,59638.39,2348.48,0.037729
1208.504,-0.9817209,,59639.59,2349.68,0.037882
1209.504,-1.001152,,59642,2352.09,0.038041
1210.504,-1.020873,,59643.2,2353.29,0.038422
1211.504,-1.04163,,59644.41,2354.5,0.038458
1212.504,-1.062507,,59645.61,2355.7,0.038428
1213.504,-1.083911,,59646.81,2356.9,0.03849
1214.504,-1.104231,,59648.02,2358.11,0.0387
1215.504,-1.127129,,59649.22,2359.31,0.038611
1216.504,-1.151192,,59650.42,2360.51,0.038931
1217.504,-1.17688,,59652.83,2362.92,0.039257
1218.504,-1.203668,,59655.23,2365.32,0.039347
1219.504,-1.230768,,59657.64,2367.73,0.03955
1220.504,-1.259005,,59658.84,2368.93,0.039766
1221.504,-1.285855,,59661.25,2371.34,0.040023
1222.504,-1.315014,,59663.66,2373.75,0.04008
1223.504,-1.344552,,59664.86,2374.95,0.040249
1224.504,-1.374196,,59666.06,2376.15,0.040194
1225.504,-1.404503,,59667.27,2377.36,0.040031
1226.504,-1.436063,,59668.47,2378.56,0.040197
1227.504,-1.466848,,59669.67,2379.76,0.040132
1228.504,-1.499,,59670.88,2380.97,0.040064
1229.504,-1.532705,,59673.28,2383.37,0.040043
1230.504,-1.565661,,59675.69,2385.78,0.040031
1231.504,-1.598928,,59676.89,2386.98,0.040294
1232.504,-1.631931,,59678.09,2388.18,0.040194
1233.504,-1.665995,,59680.5,2390.59,0.040221
1234.504,-1.699964,,59681.7,2391.79,0.040141
1235.504,-1.733849,,59684.11,2394.2,0.040282
1236.504,-1.767352,,59685.31,2395.4,0.040261
1237.504,-1.800045,,59686.52,2396.61,0.040109
1238.504,-1.832452,,59687.72,2397.81,0.040198
1239.504,-1.866637,,59688.92,2399.01,0.040261
1240.504,-1.901503,,59691.33,2401.42,0.039993
1241.504,-1.933926,,59693.73,2403.82,0.040393
1242.504,-1.968447,,59696.14,2406.23,0.040083
1243.504,-2.002672,,59697.34,2407.43,0.040108
1244.504,-2.035939,,59698.55,2408.64,0.040155
1245.504,-2.070888,,59699.75,2409.84,0.04019
1246.504,-2.10459,,59700.95,2411.04,0.040257
1247.504,-2.139639,,59703.36,2413.45,0.039948
1248.504,-2.172906,,59705.77,2415.86,0.039625
1249.504,-2.207416,,59706.97,2417.06,0.039486
1250.504,-2.239829,,59708.17,2418.26,0.039327
1251.504,-2.274098,,59709.38,2419.47,0.038862
1252.504,-2.306949,,59710.58,2420.67,0.038799
1253.504,-2.339473,,59712.98,2423.07,0.038122
1254.504,-2.371746,,59715.39,2425.48,0.037747
1255.504,-2.405081,,59716.59,2426.68,0.037502
1256.504,-2.438215,,59717.8,2427.89,0.03751
1257.504,-2.470573,,59719,2429.09,0.036939
1258.504,-2.502699,,59720.2,2430.29,0.036339
1259.504,-2.535764,,59722.61,2432.7,0.036052
1260.504,-2.567762,,59725.02,2435.11,0.035382
1261.5,-2.600097,,59726.22,2436.31,0.035188
1262.482,-2.631895,,59727.42,2437.51,0.034999
1263.462,-2.664129,,59729.83,2439.92,0.035023
1264.408,-2.694539,,59732.23,2442.32,0.034876
1265.392,-2.725329,,59734.64,2444.73,0.034691
1266.388,-2.756747,,59735.84,2445.93,0.034339
1267.34,-2.784795,,59738.25,2448.34,0.03417
1268.314,-2.813087,,59740.66,2450.75,0.03384
1269.274,-2.84065,,59743.06,2453.15,0.033712
1270.274,-2.868763,,59744.27,2454.36,0.033705
1271.17,-2.895847,,59745.47,2455.56,0.033659
1272.1,-2.924215,,59746.67,2456.76,0.033645
1273.002,-2.952244,,59747.88,2457.97,0.033483
1273.966,-2.982179,,59749.08,2459.17,0.033472
1274.966,-3.02138,,59751.48,2461.57,0.033286
1275.936,-3.05323,,59753.89,2463.98,0.033515
1276.936,-3.088721,,59755.09,2465.18,0.033462
1277.512,-3.111406,,59756.3,2466.39,0.033508
1277.514,-3.111492,,59757.5,2467.59,0.033211
1277.874,-3.108701,,59758.7,2468.79,0.033288
1278.116,-3.103498,,59761.11,2471.2,0.033174
1278.402,-3.096662,,59762.31,2472.4,0.032936
1278.696,-3.091035,,59763.52,2473.61,0.032963
1279.008,-3.084276,,59765.92,2476.01,0.032896
1279.316,-3.077881,,59768.33,2478.42,0.032457
1279.646,-3.071129,,59770.73,2480.82,0.032318
1279.978,-3.06311,,59771.94,2482.03,0.032063
1280.35,-3.05461,,59774.34,2484.43,0.031625
1280.738,-3.045869,,59776.75,2486.84,0.031641
1281.132,-3.035862,,59779.16,2489.25,0.031663
1281.556,-3.026041,,59781.56,2491.65,0.031653
1281.992,-3.014758,,59782.77,2492.86,0.031629
1282.434,-3.00287,,59785.17,2495.26,0.031769
1282.906,-2.990748,,59786.38,2496.47,0.03194
1283.382,-2.979233,,59787.58,2497.67,0.032057
1283.874,-2.966175,,59789.98,2500.07,0.032157
1284.38,-2.953509,,59792.39,2502.48,0.032536
1284.894,-2.939056,,59793.59,2503.68,0.032762
1285.442,-2.925733,,59794.8,2504.89,0.032672
1286.006,-2.911077,,59796,2506.09,0.033001
1286.59,-2.89562,,59797.2,2507.29,0.03298
1287.194,-2.880142,,59799.61,2509.7,0.033223
1287.804,-2.8643,,59800.81,2510.9,0.033088
1288.436,-2.84611,,59802.02,2512.11,0.033174
1289.068,-2.828553,,59803.22,2513.31,0.033177
1289.716,-2.810988,,59804.42,2514.51,0.033064
1290.364,-2.792193,,59806.83,2516.92,0.033307
1291.044,-2.772549,,59809.23,2519.32,0.03331
1291.756,-2.751113,,59811.64,2521.73,0.033505
1292.472,-2.729467,,59812.84,2522.93,0.033848
1293.2,-2.707864,,59815.25,2525.34,0.034295
1293.964,-2.684975,,59817.66,2527.75,0.034784
1294.752,-2.660493,,59818.86,2528.95,0.034851
1295.572,-2.635103,,59821.27,2531.36,0.035408
1296.402,-2.609938,,59822.47,2532.56,0.035756
1297.28,-2.582941,,59823.67,2533.76,0.036002
1298.182,-2.555197,,59826.08,2536.17,0.036689
1299.128,-2.525021,,59828.48,2538.57,0.037455
1300.102,-2.494873,,59830.89,2540.98,0.037832
1301.102,-2.462399,,59832.09,2542.18,0.037858
1302.102,-2.428488,,59834.5,2544.59,0.03842
1303.102,-2.395484,,59835.7,2545.79,0.038353
1304.102,-2.363344,,59838.11,2548.2,0.038658
1305.102,-2.328636,,59840.52,2550.61,0.038847
1306.102,-2.294753,,59841.72,2551.81,0.038961
1307.102,-2.260622,,59842.92,2553.01,0.039088
1308.102,-2.225566,,59845.33,2555.42,0.039374
1309.102,-2.191651,,59846.53,2556.62,0.039425
1310.102,-2.155496,,59848.94,2559.03,0.039776
1311.102,-2.11981,,59850.14,2560.23,0.039931
1312.102,-2.084683,,59852.55,2562.64,0.040022
1313.102,-2.048263,,59854.95,2565.04,0.040245
1314.102,-2.011925,,59857.36,2567.45,0.040129
1315.102,-1.977041,,59858.56,2568.65,0.040123
1316.102,-1.940007,,59859.77,2569.86,0.040066
1317.102,-1.904848,,59860.97,2571.06,0.040213
1318.102,-1.869451,,59862.17,2572.26,0.0401
1319.102,-1.834124,,59864.58,2574.67,0.040113
1320.102,-1.798699,,59866.98,2577.07,0.040124
1321.102,-1.761815,,59869.39,2579.48,0.040053
1322.102,-1.725425,,59870.59,2580.68,0.040187
1323.102,-1.689436,,59873,2583.09,0.040276
1324.102,-1.652642,,59874.2,2584.29,0.040262
1325.102,-1.616998,,59876.61,2586.7,0.040204
1326.102,-1.582133,,59877.81,2587.9,0.040166
1327.102,-1.546211,,59879.02,2589.11,0.040142
1328.102,-1.511388,,59880.22,2590.31,0.040308
1329.102,-1.477754,,59881.42,2591.51,0.04024
1330.102,-1.445121,,59883.83,2593.92,0.040238
1331.102,-1.412387,,59886.23,2596.32,0.04032
1332.102,-1.380207,,59888.64,2598.73,0.040356
1333.102,-1.348314,,59889.84,2599.93,0.040303
1334.102,-1.316686,,59892.25,2602.34,0.040359
1335.102,-1.287443,,59894.66,2604.75,0.040319
1336.102,-1.258487,,59897.06,2607.15,0.040289
1337.102,-1.229827,,59899.47,2609.56,0.039627
1338.102,-1.202324,,59900.67,2610.76,0.039402
1339.102,-1.17465,,59903.08,2613.17,0.038846
1340.102,-1.147102,,59905.48,2615.57,0.03851
1341.102,-1.121173,,59906.69,2616.78,0.038102
1342.102,-1.094623,,59907.89,2617.98,0.038135
1343.102,-1.070864,,59909.09,2619.18,0.037724
1344.102,-1.047143,,59911.5,2621.59,0.037275
1345.102,-1.025264,,59913.91,2624,0.036849
1346.102,-1.000761,,59915.11,2625.2,0.036728
1347.102,-0.979014,,59917.52,2627.61,0.036075
1348.102,-0.9584456,,59918.72,2628.81,0.035828
1349.102,-0.9382697,,59919.92,2630.01,0.035491
1350.102,-0.9209082,,59922.33,2632.42,0.035271
1351.102,-0.902768,,59924.73,2634.82,0.035143
1352.102,-0.8888833,,59925.94,2636.03,0.034775
1353.102,-0.8765702,,59927.14,2637.23,0.034799
1354.102,-0.8642003,,59928.34,2638.43,0.034747
1355.102,-0.8557509,,59929.55,2639.64,0.03462
1356.102,-0.849973,,59930.75,2640.84,0.034369
1357.102,-0.8484466,,59931.95,2642.04,0.034305
1358.102,-0.8469416,,59934.36,2644.45,0.034137
1359.102,-0.846356,,59935.56,2645.65,0.034038
1360.102,-0.8462252,,59936.77,2646.86,0.033823
1361.102,-0.8456703,,59937.97,2648.06,0.033647
1362.102,-0.8450384,,59939.17,2649.26,0.033846
1363.102,-0.8458348,,59941.58,2651.67,0.033383
1364.102,-0.845717,,59943.98,2654.07,0.033485
1365.102,-0.8454856,,59945.19,2655.28,0.033706
1366.102,-0.84474,,59946.39,2656.48,0.033455
1367.102,-0.8444787,,59948.8,2658.89,0.03344
1368.102,-0.8440528,,59951.2,2661.29,0.033285
1369.102,-0.8437806,,59953.61,2663.7,0.033225
1370.102,-0.8442041,,59954.81,2664.9,0.033109
1371.102,-0.8438357,,59956.02,2666.11,0.033182
1372.102,-0.8437923,,59957.22,2667.31,0.033296
1373.102,-0.8440917,,59958.42,2668.51,0.032901
1373.522,-0.8433899,,59960.83,2670.92,0.032631
1373.524,-0.843363,,59963.23,2673.32,0.032424
1374.524,-0.8436882,,59964.44,2674.53,0.032333
1375.524,-0.8433481,,59965.64,2675.73,0.032236
1376.524,-0.8431569,,59968.05,2678.14,0.032161
1377.524,-0.8437775,,59969.25,2679.34,0.032043
1378.524,-0.8427681,,59970.45,2680.54,0.031787
1379.524,-0.8430735,,59972.86,2682.95,0.031726
1380.524,-0.843007,,59974.06,2684.15,0.031989
1381.524,-0.8430549,,59975.27,2685.36,0.031907
1382.524,-0.8432239,,59976.47,2686.56,0.031927
1383.524,-0.843828,,59977.67,2687.76,0.032075
1384.524,-0.843403,,59978.88,2688.97,0.031976
1385.524,-0.842637,,59980.08,2690.17,0.032274
1386.524,-0.8432355,,59982.48,2692.57,0.032336
1387.524,-0.8432795,,59984.89,2694.98,0.032738
1388.524,-0.8427166,,59986.09,2696.18,0.032858
1389.524,-0.8446013,,59987.3,2697.39,0.032884
1390.524,-0.850959,,59988.5,2698.59,0.03316
1391.524,-0.8588767,,59989.7,2699.79,0.033097
1392.524,-0.8696921,,59992.11,2702.2,0.033285
1393.524,-0.8819517,,59994.52,2704.61,0.033256
1394.524,-0.8961831,,59995.72,2705.81,0.033497
1395.524,-0.9123275,,59996.92,2707.01,0.033405
1396.524,-0.9301373,,59999.33,2709.42,0.033528
1397.524,-0.9470344,,60001.73,2711.82,0.033784
1398.524,-0.9633947,,60004.14,2714.23,0.03382
1399.524,-0.9817155,,60005.34,2715.43,0.034041
1400.524,-1.001669,,60006.55,2716.64,0.034242
1401.524,-1.01978,,60007.75,2717.84,0.034731
1402.524,-1.040902,,60008.95,2719.04,0.03485
1403.524,-1.060811,,60011.36,2721.45,0.035685
1404.524,-1.08233,,60013.77,2723.86,0.036214
1405.524,-1.103012,,60014.97,2725.06,0.036583
1406.524,-1.124178,,60016.17,2726.26,0.036729
1407.524,-1.147891,,60018.58,2728.67,0.037358
1408.524,-1.171851,,60020.98,2731.07,0.038039
1409.524,-1.197167,,60022.19,2732.28,0.038408
1410.524,-1.224553,,60023.39,2733.48,0.038133
1411.524,-1.250791,,60025.8,2735.89,0.038687
