Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.003643 -88.82 -280.1
   0.01 -.003645 -88.87 -509.5
   0.02 -.003648 -88.93 -688.1
   0.03 -.003650 -88.99 -815.8
   0.04 -.003652 -89.03 -892.7
   0.05 -.003654 -89.09 -918.7
   0.07 -.003656 -89.12 -893.7
   0.08 -.003657 -89.17 -817.8
   0.09 -.003659 -89.22 -690.9
   0.10 -.003662 -89.27 -513.0
   0.11 -.003663 -89.31 -284.0
   0.12 -.003665 -89.35   -4.0
   0.13 -.003667 -89.40   -3.9
   0.14 -.003669 -89.45   -3.8
   0.15 -.003671 -89.49   -3.8
   0.17 -.003673 -89.54   -3.8
   0.18 -.003674 -89.58   -3.7
   0.19 -.003676 -89.61   -3.7
   0.20 -.003678 -89.67   -3.7
   0.21 -.003680 -89.71   -3.6
   0.22 -.003681 -89.74   -3.6
   0.23 -.003683 -89.79   -3.6
   0.24 -.003684 -89.82   -3.5
   0.25 -.003686 -89.87   -3.5
   0.27 -.003688 -89.92   -3.4
   0.28 -.003690 -89.96   -3.4
   0.29 -.003692 -90.00   -3.5
   0.30 -.003693 -90.03   -3.4
   0.31 -.003695 -90.09   -3.5
   0.32 -.003698 -90.15   -3.5
   0.33 -.003699 -90.18   -3.6
   0.34 -.003700 -90.21   -3.6
   0.35 -.003702 -90.25   -3.5
   0.37 -.003704 -90.30   -3.5
   0.38 -.003705 -90.34   -3.5
   0.39 -.003707 -90.37   -3.4
   0.40 -.003708 -90.40   -3.3
   0.41 -.003709 -90.43   -3.2
   0.42 -.003710 -90.45   -3.1
   0.43 -.003712 -90.49   -2.9
   0.44 -.003713 -90.53   -2.8
   0.45 -.003714 -90.54   -2.8
   0.47 -.003715 -90.57   -2.7
   0.48 -.003716 -90.59   -2.5
   0.49 -.003717 -90.61   -2.4
   0.50 -.003718 -90.66   -2.3
   0.51 -.003719 -90.66   -2.2
   0.52 -.003720 -90.69   -2.2
   0.53 -.003721 -90.71   -2.1
   0.54 -.003722 -90.74   -2.0
   0.55 -.003722 -90.75   -1.9
   0.56 -.003724 -90.78   -1.9
   0.58 -.003724 -90.80   -1.9
   0.59 -.003725 -90.82   -1.8
   0.60 -.003726 -90.83   -1.8
   0.61 -.003727 -90.86   -1.7
   0.62 -.003727 -90.87   -1.7
   0.63 -.003729 -90.92   -1.8
   0.64 -.003735 -91.07   -2.2
   0.65 -.003647 -88.91    4.3
   0.67 -.003481 -84.86   22.5
   0.68 -.003362 -81.98   46.3
   0.69 -.003269 -79.70   72.2
   0.70 -.003144 -76.66  101.3
   0.71 -.002865 -69.85  143.7
   0.72 -.002423 -59.08  207.9
   0.73 -.002121 -51.72  277.2
   0.74 -.001833 -44.70  346.0
   0.75 -.001516 -36.96  412.7
   0.77 -.001216 -29.66  471.4
   0.78 -.001059 -25.83  506.4
   0.79 -.000830 -20.23  529.8
   0.80 -.000611 -14.89  545.7
   0.81 -.000399  -9.74  548.5
   0.82 -.000206  -5.01  533.2
   0.83 -.000026  -0.64  500.3
   0.84 0.000131   3.20  461.2
   0.85 0.000287   7.00  432.4
   0.87 0.000330   8.05  396.4
   0.88 0.000435  10.62  360.4
   0.89 0.000550  13.41  330.4
   0.90 0.000676  16.48  308.3
   0.91 0.000797  19.44  283.4
   0.92 0.000929  22.64  263.6
   0.93 0.001065  25.96  249.5
   0.94 0.001196  29.17  241.4
   0.95 0.001395  34.01  243.8
   0.97 0.001517  36.98  249.4
   0.98 0.001636  39.89  257.0
   0.99 0.001750  42.68  266.5
   1.00 0.001854  45.20  267.4
   1.01 0.001941  47.32  263.3
   1.02 0.002014  49.12  254.2
   1.03 0.002033  49.58  237.5
   1.04 0.002121  51.73  219.7
   1.05 0.002228  54.33  203.5
   1.07 0.002311  56.36  187.8
   1.08 0.002403  58.60  173.8
   1.09 0.002489  60.70  167.5
   1.10 0.002571  62.70  163.4
   1.11 0.002649  64.61  161.3
   1.12 0.002724  66.42  161.2
   1.13 0.002795  68.16  162.4
   1.14 0.002863  69.81  163.5
   1.16 0.002927  71.38  163.4
   1.17 0.002988  72.86  156.8
   1.18 0.003049  74.35  149.7
   1.19 0.003105  75.72  143.6
   1.20 0.003159  77.04  136.9
   1.21 0.003211  78.31  130.7
   1.22 0.003260  79.49  124.8
