Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.84 -.003309 -80.68  -36.7
   1.85 -.003325 -81.06  -35.8
   1.86 -.003341 -81.45  -35.0
   1.87 -.003356 -81.81  -34.2
   1.88 -.003371 -82.18  -33.4
   1.90 -.003385 -82.53  -32.6
   1.91 -.003399 -82.88  -31.8
   1.92 -.003413 -83.21  -31.1
   1.93 -.003427 -83.54  -30.3
   1.94 -.003441 -83.88  -29.7
   1.95 -.003453 -84.18  -29.0
   1.96 -.003465 -84.49  -28.4
   1.97 -.003478 -84.80  -27.8
   1.99 -.003490 -85.09  -27.1
   2.00 -.003502 -85.39  -26.6
   2.01 -.003514 -85.67  -26.0
   2.02 -.003525 -85.94  -25.4
   2.03 -.003536 -86.21  -24.9
   2.04 -.003547 -86.48  -24.4
   2.05 -.003558 -86.74  -23.8
   2.06 -.003568 -86.99  -23.3
   2.08 -.003578 -87.24  -22.8
   2.09 -.003589 -87.49  -22.3
   2.10 -.003598 -87.73  -21.8
   2.11 -.003608 -87.96  -21.4
   2.12 -.003617 -88.19  -20.9
   2.13 -.003627 -88.42  -20.5
   2.14 -.003636 -88.64  -20.1
   2.15 -.003645 -88.86  -19.7
   2.16 -.003653 -89.07  -19.3
   2.18 -.003662 -89.28  -18.9
   2.19 -.003670 -89.48  -18.5
   2.20 -.003678 -89.68  -18.2
   2.21 -.003687 -89.88  -17.8
   2.22 -.003695 -90.08  -17.5
   2.23 -.003702 -90.25  -17.1
   2.24 -.003710 -90.44  -16.8
   2.25 -.003750 -91.42  -18.9
   2.32 -.003757 -91.59  -20.6
   2.33 -.003763 -91.74  -21.8
   2.34 -.003769 -91.88  -22.5
   2.35 -.003775 -92.03  -22.7
   2.36 -.003781 -92.18  -22.4
   2.37 -.003787 -92.32  -21.7
   2.39 -.003793 -92.47  -20.5
   2.40 -.003799 -92.61  -19.0
   2.41 -.003804 -92.74  -17.0
   2.42 -.003810 -92.88  -14.6
   2.43 -.003815 -93.00  -11.8
   2.44 -.003820 -93.14  -11.6
   2.45 -.003825 -93.26  -11.4
   2.47 -.003831 -93.40  -11.2
   2.48 -.003835 -93.50  -11.0
   2.49 -.003840 -93.63  -10.8
   2.50 -.003845 -93.75  -10.6
   2.51 -.003850 -93.85  -10.4
   2.52 -.003854 -93.97  -10.1
   2.53 -.003859 -94.08  -10.0
   2.54 -.003863 -94.18   -9.7
   2.55 -.003868 -94.29   -9.5
   2.57 -.003872 -94.39   -9.3
   2.58 -.003876 -94.48   -9.1
   2.59 -.003880 -94.59   -8.9
   2.60 -.003884 -94.69   -8.8
   2.61 -.003888 -94.78   -8.6
   2.62 -.003891 -94.87   -8.4
   2.63 -.003895 -94.96   -8.2
   2.64 -.003899 -95.05   -8.1
   2.66 -.003902 -95.13   -7.9
   2.67 -.003906 -95.22   -7.7
   2.68 -.003909 -95.30   -7.6
   2.69 -.003912 -95.39   -7.4
   2.70 -.003916 -95.48   -7.3
   2.71 -.003919 -95.55   -7.2
   2.72 -.003922 -95.63   -7.0
   2.73 -.003926 -95.71   -6.9
   2.75 -.003929 -95.78   -6.8
   2.76 -.003932 -95.86   -6.7
   2.77 -.003935 -95.93   -6.6
   2.78 -.003939 -96.02   -6.5
   2.79 -.003941 -96.09   -6.5
   2.80 -.003944 -96.16   -6.4
   2.81 -.003947 -96.22   -6.3
   2.82 -.003950 -96.30   -6.2
   2.84 -.003953 -96.37   -6.1
   2.85 -.003956 -96.44   -6.1
   2.86 -.003958 -96.50   -5.9
   2.87 -.003961 -96.58   -5.9
   2.88 -.003964 -96.63   -5.8
   2.89 -.003966 -96.69   -5.6
   2.90 -.003969 -96.75   -5.5
   2.91 -.003971 -96.81   -5.4
   2.92 -.003974 -96.88   -5.3
   2.94 -.003976 -96.93   -5.2
   2.95 -.003979 -97.00   -5.1
   2.96 -.003980 -97.04   -5.0
   2.97 -.003982 -97.09   -4.9
   2.98 -.003984 -97.14   -4.8
   2.99 -.003987 -97.20   -4.7
   3.00 -.003989 -97.25   -4.6
   3.01 -.003991 -97.30   -4.5
   3.03 -.003992 -97.33   -4.3
   3.04 -.003995 -97.39   -4.2
   3.05 -.003997 -97.43   -4.1
   3.06 -.003998 -97.48   -4.0
   3.07 -.004000 -97.52   -3.9
   3.08 -.004002 -97.57   -3.9
   3.09 -.004004 -97.61   -3.8
   3.11 -.004005 -97.65   -3.8
   3.12 -.004008 -97.70   -3.7
   3.13 -.004009 -97.73   -3.7
   3.14 -.004010 -97.77   -3.6
   3.15 -.004013 -97.82   -3.6
   3.16 -.004014 -97.85   -3.5
   3.17 -.004015 -97.89   -3.4
   3.18 -.004017 -97.93   -3.4
   3.19 -.004018 -97.97   -3.3
   3.21 -.004019 -97.99   -3.2
   3.22 -.004021 -98.03   -3.1
   3.23 -.004022 -98.07   -3.1
   3.24 -.004024 -98.10   -3.0
   3.25 -.004025 -98.13   -2.9
   3.26 -.004027 -98.18   -2.9
   3.27 -.004028 -98.20   -2.9
   3.28 -.004029 -98.23   -2.8
   3.30 -.004031 -98.27   -2.8
   3.31 -.004032 -98.30   -2.8
   3.32 -.004033 -98.33   -2.7
   3.33 -.004034 -98.35   -2.7
   3.34 -.004035 -98.38   -2.6
   3.35 -.004037 -98.41   -2.6
   3.36 -.004037 -98.43   -2.5
   3.37 -.004015 -97.89   -0.6
   3.39 -.003827 -93.30   15.5
   3.40 -.003683 -89.80   39.7
   3.41 -.003598 -87.71   65.6
   3.42 -.003475 -84.73   94.8
   3.43 -.003340 -81.43  126.5
   3.44 -.002893 -70.53  182.8
   3.45 -.002373 -57.86  263.0
   3.46 -.002175 -53.04  335.2
   3.48 -.001804 -43.99  409.8
   3.49 -.001476 -35.98  478.4
   3.50 -.001073 -26.15  542.1
   3.51 -.000754 -18.39  590.8
   3.52 -.000439 -10.71  635.2
   3.53 -.000149  -3.63  667.7
   3.54 -.000105  -2.55  662.0
   3.55 0.000270   6.59  647.4
   3.57 0.000420  10.24  604.2
   3.58 0.000567  13.82  560.4
   3.59 0.001506  36.72  587.6
   3.60 0.000878  21.42  530.3
   3.61 0.001059  25.82  477.9
   3.62 0.001384  33.75  440.5
   3.63 0.001544  37.64  411.9
   3.64 0.001556  37.95  376.6
   3.66 0.001633  39.82  343.5
   3.67 0.001783  43.49  319.4
   3.68 0.001891  46.11  280.6
   3.69 0.002022  49.31  258.1
   3.70 0.002127  51.86  232.7
   3.71 0.002206  53.80  202.9
   3.72 0.002329  56.79  244.9
   3.73 0.002424  59.10  225.7
   3.74 0.002516  61.34  208.3
   3.76 0.002603  63.48  207.0
   3.77 0.002682  65.41  209.1
   3.78 0.002761  67.32  202.5
   3.79 0.002835  69.13  191.7
   3.80 0.002905  70.83  183.2
   3.81 0.002970  72.42  173.7
   3.82 0.003031  73.90  165.8
   3.84 0.003088  75.30  157.7
   3.85 0.003142  76.62  147.6
   3.86 0.003192  77.85  139.3
   3.87 0.003239  78.99  131.2
   3.88 0.003284  80.09  123.6
   3.89 0.003326  81.10  116.3
   3.90 0.003365  82.06  109.1
   3.91 0.003402  82.97  102.4
   3.93 0.003438  83.83   96.2
   3.94 0.003471  84.65   90.5
   3.95 0.003502  85.40   85.1
   3.96 0.003532  86.12   80.1
   3.97 0.003559  86.80   75.5
   3.98 0.003585  87.43   71.1
   3.99 0.003609  88.02   67.0
   4.00 0.003633  88.61   63.2
   4.01 0.003655  89.14   59.6
   4.03 0.003676  89.64   56.2
