Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.73 -.004385 %-106.91   -7.9
   1.74 -.004389 %-107.00   -7.9
   1.75 -.004393 %-107.09   -7.9
   1.76 -.004397 %-107.19   -7.8
   1.77 -.004400 %-107.27   -7.7
   1.78 -.004404 %-107.37   -7.7
   1.79 -.004407 %-107.45   -7.6
   1.80 -.004411 %-107.55   -7.5
   1.82 -.004415 %-107.64   -7.5
   1.83 -.004419 %-107.72   -7.4
   1.84 -.004422 %-107.81   -7.4
   1.85 -.004426 %-107.89   -7.4
   1.86 -.004429 %-107.97   -7.3
   1.87 -.004433 %-108.07   -7.2
   1.88 -.004436 %-108.16   -7.2
   1.89 -.004440 %-108.24   -7.2
   1.90 -.004443 %-108.32   -7.1
   1.92 -.004447 %-108.41   -7.1
   1.93 -.004450 %-108.49   -7.1
   1.94 -.004454 %-108.58   -7.0
   1.95 -.004457 %-108.65   -7.0
   1.96 -.004460 %-108.74   -7.0
   1.97 -.004464 %-108.82   -6.9
   1.98 -.004467 %-108.91   -6.9
   1.99 -.004470 %-108.98   -6.8
   2.01 -.004474 %-109.07   -6.8
   2.02 -.004477 %-109.15   -6.8
   2.03 -.004481 %-109.23   -6.8
   2.04 -.004484 %-109.31   -6.7
   2.05 -.004487 %-109.39   -6.7
   2.06 -.004490 %-109.46   -6.7
   2.07 -.004493 %-109.54   -6.6
   2.08 -.004496 %-109.62   -6.6
   2.10 -.004499 %-109.69   -6.5
   2.11 -.004503 %-109.77   -6.4
   2.12 -.004505 %-109.84   -6.4
   2.13 -.004508 %-109.91   -6.3
   2.14 -.004512 %-109.99   -6.2
   2.15 -.004514 %-110.06   -6.2
   2.16 -.004517 %-110.13   -6.1
   2.17 -.004521 %-110.21   -6.1
   2.19 -.004523 %-110.27   -6.1
   2.20 -.004526 %-110.34   -6.0
   2.21 -.004529 %-110.40   -5.9
   2.22 -.004532 %-110.48   -5.9
   2.23 -.004534 %-110.55   -5.8
   2.24 -.004537 %-110.62   -5.8
   2.25 -.004540 %-110.68   -5.7
   2.26 -.004543 %-110.75   -5.6
   2.27 -.004545 %-110.82   -5.6
   2.29 -.004548 %-110.88   -5.5
   2.30 -.004551 %-110.95   -5.5
   2.31 -.004553 %-111.01   -5.5
   2.32 -.004556 %-111.08   -5.5
   2.33 -.004558 %-111.13   -5.5
   2.34 -.004561 %-111.20   -5.4
   2.35 -.004564 %-111.28   -5.4
   2.36 -.004567 %-111.34   -5.4
   2.38 -.004570 %-111.41   -5.4
   2.39 -.004574 %-111.51   -5.5
   2.40 -.004576 %-111.55   -5.5
   2.41 -.004578 %-111.60   -5.5
   2.42 -.004579 %-111.64   -5.4
   2.43 -.004581 %-111.69   -5.3
   2.44 -.004584 %-111.75   -5.1
   2.45 -.004586 %-111.80   -5.0
   2.47 -.004588 %-111.85   -4.8
   2.48 -.004590 %-111.91   -4.6
   2.49 -.004592 %-111.96   -4.4
   2.50 -.004594 %-112.00   -4.2
   2.51 -.004596 %-112.05   -4.1
   2.52 -.004599 %-112.11   -4.2
   2.53 -.004600 %-112.15   -4.2
   2.54 -.004602 %-112.20   -4.2
   2.55 -.004604 %-112.25   -4.2
   2.57 -.004607 %-112.31   -4.1
   2.58 -.004608 %-112.35   -4.1
   2.59 -.004611 %-112.41   -4.1
   2.60 -.004613 %-112.46   -4.1
   2.61 -.004615 %-112.50   -4.1
   2.62 -.004617 %-112.55   -4.1
   2.63 -.004618 %-112.59   -4.0
   2.64 -.004620 %-112.64   -4.0
   2.66 -.004623 %-112.70   -4.0
   2.67 -.004624 %-112.74   -4.0
   2.68 -.004626 %-112.78   -3.9
   2.69 -.004628 %-112.82   -3.9
   2.70 -.004630 %-112.88   -3.9
   2.71 -.004632 %-112.92   -3.8
   2.72 -.004634 %-112.97   -3.8
   2.73 -.004636 %-113.02   -3.8
   2.75 -.004637 %-113.05   -3.8
   2.76 -.004639 %-113.10   -3.8
   2.77 -.004641 %-113.15   -3.8
   2.78 -.004643 %-113.18   -3.7
   2.79 -.004645 %-113.23   -3.7
   2.80 -.004646 %-113.27   -3.7
   2.81 -.004648 %-113.32   -3.6
   2.82 -.004650 %-113.37   -3.6
   2.84 -.004652 %-113.41   -3.6
   2.85 -.004654 %-113.46   -3.6
   2.86 -.004656 %-113.50   -3.6
   2.87 -.004658 %-113.55   -3.7
   2.88 -.004660 %-113.60   -3.7
   2.89 -.004661 %-113.64   -3.7
   2.90 -.004663 %-113.68   -3.7
   2.91 -.004665 %-113.73   -3.7
   2.92 -.004667 %-113.77   -3.7
   2.94 -.004668 %-113.81   -3.7
   2.95 -.004670 %-113.86   -3.7
   2.96 -.004672 %-113.90   -3.6
   2.97 -.004674 %-113.95   -3.6
   2.98 -.004676 %-113.99   -3.6
   2.99 -.004677 %-114.03   -3.6
   3.00 -.004679 %-114.06   -3.5
   3.01 -.004681 %-114.11   -3.5
   3.03 -.004682 %-114.15   -3.5
   3.04 -.004684 %-114.19   -3.4
   3.05 -.004686 %-114.23   -3.4
   3.06 -.004687 %-114.27   -3.4
   3.07 -.004689 %-114.31   -3.4
   3.08 -.004690 %-114.35   -3.4
   3.09 -.004692 %-114.39   -3.3
   3.11 -.004694 %-114.43   -3.3
   3.12 -.004695 %-114.47   -3.3
   3.13 -.004696 %-114.50   -3.2
   3.14 -.004698 %-114.54   -3.2
   3.15 -.004699 %-114.57   -3.2
   3.16 -.004701 %-114.61   -3.1
   3.17 -.004703 %-114.65   -3.1
   3.18 -.004704 %-114.67   -3.0
   3.19 -.004705 %-114.70   -2.9
   3.21 -.004707 %-114.76   -2.9
   3.22 -.004708 %-114.78   -2.9
   3.23 -.004710 %-114.82   -2.9
   3.24 -.004711 %-114.86   -2.9
   3.25 -.004713 %-114.89   -2.9
   3.26 -.004713 %-114.91   -2.8
   3.27 -.004715 %-114.96   -2.9
   3.28 -.004717 %-114.99   -2.8
   3.30 -.004718 %-115.02   -2.8
   3.31 -.004720 %-115.06   -2.9
   3.32 -.004721 %-115.09   -2.8
   3.33 -.004722 %-115.12   -2.8
   3.34 -.004724 %-115.16   -2.8
   3.35 -.004725 %-115.19   -2.8
   3.36 -.004727 %-115.23   -2.8
   3.37 -.004728 %-115.26   -2.8
   3.39 -.004729 %-115.29   -2.8
   3.40 -.004731 %-115.33   -2.8
   3.41 -.004732 %-115.36   -2.8
   3.42 -.004733 %-115.39   -2.8
   3.43 -.004734 %-115.41   -2.7
   3.44 -.004736 %-115.46   -2.7
   3.45 -.004737 %-115.49   -2.7
   3.46 -.004738 %-115.51   -2.6
   3.47 -.004740 %-115.55   -2.6
   3.49 -.004740 %-115.57   -2.5
   3.50 -.004741 %-115.59   -2.5
   3.51 -.004743 %-115.62   -2.4
   3.52 -.004744 %-115.65   -2.4
   3.53 -.004745 %-115.67   -2.3
   3.54 -.004746 %-115.70   -2.3
   3.55 -.004747 %-115.73   -2.3
   3.56 -.004748 %-115.75   -2.2
   3.58 -.004749 %-115.78   -2.2
   3.59 -.004750 %-115.81   -2.2
   3.60 -.004751 %-115.84   -2.2
   3.61 -.004752 %-115.86   -2.2
   3.62 -.004753 %-115.89   -2.2
   3.63 -.004754 %-115.91   -2.2
   3.64 -.004756 %-115.94   -2.2
   3.65 -.004757 %-115.98   -2.2
   3.67 -.004758 %-116.00   -2.2
   3.68 -.004760 %-116.04   -2.3
   3.69 -.004761 %-116.06   -2.3
   3.70 -.004761 %-116.08   -2.3
   3.71 -.004762 %-116.10   -2.3
   3.72 -.004764 %-116.13   -2.3
   3.73 -.004765 %-116.17   -2.3
   3.74 -.004766 %-116.18   -2.2
   3.76 -.004767 %-116.20   -2.2
   3.77 -.004768 %-116.24   -2.2
   3.78 -.004769 %-116.26   -2.1
   3.79 -.004771 %-116.30   -2.1
   3.80 -.004771 %-116.32   -2.1
   3.81 -.004773 %-116.35   -2.2
   3.82 -.004774 %-116.39   -2.3
   3.83 -.004684 %-114.19    4.7
   3.84 -.002121 -51.72  207.6
   3.86 -.004197 %-102.33  213.8
   3.87 -.004422 %-107.80  194.7
   3.88 -.004233 %-103.19  185.2
   3.89 -.003687 -89.89  210.2
   3.90 -.002466 -60.12  313.8
   3.91 -.003100 -75.57  336.5
   3.92 -.002915 -71.06  349.9
   3.94 -.002769 -67.52  348.4
   3.95 -.002626 -64.02  329.9
   3.96 -.002463 -60.06  293.8
   3.97 -.002303 -56.16  245.8
   3.98 -.002080 -50.70  414.6
   3.99 -.001833 -44.69  413.2
   4.00 -.001590 -38.76  377.0
   4.01 -.001142 -27.83  352.9
   4.03 -.002018 -49.19  267.8
   4.04 -.001878 -45.78  281.0
   4.05 -.001744 -42.52  238.8
   4.06 -.001614 -39.35  204.3
   4.07 -.001483 -36.17  175.0
   4.08 -.001359 -33.13  150.2
   4.09 -.001245 -30.35  131.4
   4.10 -.001138 -27.75  118.1
   4.11 -.001044 -25.46  116.2
   4.13 -.000970 -23.66  127.9
   4.14 -.000903 -22.03  154.8
   4.15 -.000762 -18.59  223.6
   4.16 -.000601 -14.65  220.0
   4.17 -.000590 -14.38  210.1
   4.18 -.000483 -11.78  202.6
   4.19 -.000371  -9.04  197.9
   4.20 -.000245  -5.97  197.3
   4.22 -.000114  -2.78  200.8
