Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.79 -.000245  -5.97 %-2636.4
   1.81 -.000711 -17.34 %-3136.5
   1.82 -.001002 -24.43 %-3456.7
   1.83 -.001059 -25.81 %-3578.9
   1.84 -.001189 -29.00 %-3500.2
   1.85 -.001200 -29.26 %-3210.1
   1.86 -.001235 -30.12 %-2712.8
   1.87 -.001215 -29.62 %-2004.4
   1.88 -.001242 -30.29 %-1087.1
   1.89 -.001207 -29.42 -523.3
   1.91 -.001209 -29.47 -253.9
   1.92 -.001176 -28.67 -120.1
   1.93 -.001077 -26.27  -47.8
   1.94 -.001080 -26.34   -6.4
   1.95 -.001051 -25.63   15.9
   1.96 -.001096 -26.73   30.3
   1.97 -.001084 -26.42   34.3
   1.98 0.000366   8.93  147.4
   2.00 0.007495 182.82  783.8
   2.01 0.010904 266.03 1562.3
   2.02 0.012492 304.80 2291.2
   2.03 0.013365 326.12 2898.3
   2.04 0.013725 334.92 3329.1
   2.05 0.013947 340.35 3571.1
   2.06 0.014021 342.15 3616.1
   2.07 0.014121 344.60 3457.3
   2.09 0.014130 344.82 3089.2
   2.10 0.014169 345.76 2507.5
   2.11 0.014177 345.96 1713.9
   2.12 0.014399 351.39  855.7
   2.13 0.014384 351.02  448.2
   2.14 0.014348 350.15  251.5
   2.15 0.014358 350.39  151.9
   2.16 0.014332 349.76  103.7
   2.17 0.014384 351.03   78.7
   2.19 0.014340 349.94   61.2
   2.20 0.014360 350.44   46.6
   2.21 0.014174 345.90   21.9
   2.22 0.006650 162.20 -581.9
   2.23 0.002835  69.13 %-1371.1
   2.24 0.000960  23.41 %-2145.2
   2.25 0.000078   1.90 %-2781.8
   2.26 -.000417 -10.16 %-3257.5
   2.28 -.000577 -14.06 %-3541.6
   2.29 -.000716 -17.45 %-3626.7
   2.30 -.000751 -18.32 %-3505.9
   2.31 -.000793 -19.33 %-3172.5
   2.32 -.000855 -20.84 %-2635.5
   2.33 -.000849 -20.69 %-1883.6
   2.34 -.000871 -21.25 -937.6
   2.35 -.000863 -21.05 -465.1
   2.37 -.000904 -22.03 -237.5
   2.38 -.000812 -19.79 -121.0
   2.39 -.000871 -21.24  -64.4
   2.40 -.000883 -21.52  -40.5
   2.41 -.000945 -23.04  -29.3
   2.42 -.000938 -22.87  -25.1
   2.43 -.000972 -23.70  -23.6
   2.44 0.002487  60.64  243.2
   2.46 0.008590 209.55  928.1
   2.47 0.011493 280.41 1704.9
   2.48 0.012871 314.07 2413.2
   2.49 0.013520 329.92 2979.9
   2.50 0.013931 339.96 3373.4
   2.51 0.014056 343.01 3577.2
   2.52 0.014206 346.68 3579.2
   2.53 0.014205 346.64 3369.1
   2.54 0.014275 348.36 2947.6
   2.56 0.014254 347.84 2312.1
   2.57 0.014266 348.14 1461.9
   2.58 0.014236 347.41  710.6
   2.59 0.014301 349.01  354.8
   2.60 0.014312 349.26  184.0
   2.61 0.014362 350.50  103.1
   2.62 0.014374 350.77   61.3
   2.63 0.014358 350.40   43.7
   2.65 0.014449 352.62   38.5
   2.66 0.014373 350.77   35.6
   2.67 0.012300 300.13 -129.4
   2.68 0.005400 131.71 -792.6
   2.69 0.002210  53.90 %-1578.8
   2.70 0.000574  14.00 %-2321.2
   2.71 -.000129  -3.14 %-2928.8
   2.73 -.000547 -13.34 %-3361.6
   2.74 -.000720 -17.56 %-3599.0
   2.75 -.000829 -20.21 %-3629.8
   2.76 -.000781 -19.04 %-3443.2
   2.77 -.000851 -20.74 %-3051.4
   2.78 -.000858 -20.93 %-2439.1
   2.79 -.000891 -21.72 %-1622.0
   2.80 -.000871 -21.24 -778.5
   2.81 -.000890 -21.69 -379.9
   2.83 -.000877 -21.40 -182.4
   2.84 -.000889 -21.69  -91.4
   2.85 -.000909 -22.16  -45.3
   2.86 -.000883 -21.53  -24.3
   2.87 -.000910 -22.18  -16.4
   2.88 -.000891 -21.73  -14.3
   2.89 -.000869 -21.18   -5.3
   2.90 0.004447 108.46  407.5
   2.92 0.009550 232.98 1138.3
   2.93 0.012064 294.37 1914.0
   2.94 0.013175 321.48 2595.9
   2.95 0.013782 336.32 3126.3
   2.96 0.014006 341.79 3469.8
   2.97 0.014209 346.76 3619.6
   2.98 0.014212 346.83 3556.7
   2.99 0.014289 348.70 3290.3
   3.01 0.014248 347.69 2806.1
   3.02 0.014219 347.00 2109.3
   3.03 0.014190 346.28 1200.8
   3.04 0.014215 346.89  566.7
   3.05 0.014186 346.18  257.8
   3.06 0.014177 345.97  112.1
   3.07 0.014114 344.42   33.0
   3.08 0.014069 343.33   -7.4
   3.10 0.014071 343.38  -31.3
   3.11 0.014083 343.66  -36.6
   3.12 0.014042 342.68  -43.1
   3.13 0.010202 248.89 -335.9
   3.14 0.004340 105.86 %-1026.4
   3.15 0.001576  38.43 %-1793.5
   3.16 0.000242   5.90 %-2488.9
   3.17 -.000384  -9.37 %-3035.0
   3.18 -.000740 -18.04 %-3406.8
   3.20 -.000824 -20.09 %-3576.9
   3.21 -.000939 -22.91 %-3551.9
   3.22 -.000931 -22.69 %-3319.6
   3.23 -.001012 -24.68 %-2883.5
   3.24 -.000967 -23.59 %-2231.9
   3.25 -.001044 -25.45 %-1379.2
   3.26 -.001013 -24.69 -662.5
   3.27 -.001054 -25.69 -325.3
   3.29 -.001157 -28.21 -171.9
   3.30 -.001144 -27.90 -100.6
   3.31 -.001162 -28.34  -68.1
   3.32 -.001163 -28.36  -57.2
   3.33 -.001218 -29.69  -52.2
   3.34 -.001216 -29.65  -52.0
   3.35 -.001272 -31.01  -51.5
   3.36 0.005532 134.93  469.7
   3.38 0.009863 240.62 1236.8
