Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.003678  89.68  282.9
   0.01 0.003685  89.86  514.8
   0.02 0.003692  90.03  695.8
   0.03 0.003699  90.20  825.7
   0.05 0.003706  90.37  904.4
   0.06 0.003713  90.55  931.9
   0.07 0.003720  90.73  907.9
   0.08 0.003728  90.91  832.6
   0.09 0.003736  91.10  705.7
   0.10 0.003743  91.27  527.1
   0.11 0.003750  91.44  296.7
   0.12 0.003754  91.55   14.3
   0.13 0.003760  91.70   14.1
   0.15 0.003768  91.88   13.9
   0.16 0.003777  92.12   14.0
   0.17 0.003786  92.34   14.2
   0.18 0.003794  92.53   14.4
   0.19 0.003801  92.69   14.5
   0.20 0.003807  92.83   14.5
   0.21 0.003813  92.98   14.5
   0.22 0.003817  93.09   14.3
   0.23 0.003823  93.24   14.1
   0.24 0.003830  93.41   14.0
   0.26 0.003836  93.56   13.6
   0.27 0.003842  93.70   13.0
   0.28 0.003850  93.89   12.6
   0.29 0.003859  94.10   12.6
   0.30 0.003866  94.29   12.8
   0.31 0.003874  94.47   13.2
   0.32 0.003881  94.65   13.7
   0.33 0.003888  94.81   14.1
   0.34 0.003893  94.95   14.3
   0.36 0.003897  95.03   14.1
   0.37 0.003902  95.17   13.7
   0.38 0.003908  95.30   13.3
   0.39 0.003912  95.39   12.6
   0.40 0.003916  95.51   11.8
   0.41 0.003924  95.69   11.2
   0.42 0.003933  95.92   11.2
   0.43 0.003942  96.13   11.4
   0.44 0.003949  96.31   11.8
   0.46 0.003957  96.50   12.5
   0.47 0.003963  96.65   13.1
   0.48 0.003968  96.77   13.6
   0.49 0.003972  96.86   13.7
   0.50 0.003976  96.97   13.5
   0.51 0.003983  97.13   13.3
   0.52 0.003988  97.25   12.8
   0.53 0.003994  97.40   12.1
   0.54 0.004001  97.58   11.6
   0.56 0.004009  97.77   11.5
   0.57 0.004016  97.94   11.5
   0.58 0.004021  98.07   11.7
   0.59 0.004026  98.18   11.9
   0.60 0.004031  98.31   12.1
   0.61 0.004035  98.40   12.1
   0.62 0.004040  98.54   11.9
   0.63 0.004046  98.67   11.6
   0.64 0.004052  98.81   11.4
   0.66 0.004059  98.99   11.2
   0.67 0.004065  99.13   11.0
   0.68 0.004071  99.28   11.0
   0.69 0.004078  99.44   11.2
   0.70 0.004084  99.60   11.5
   0.71 0.004090  99.73   11.8
   0.72 0.004095  99.88   12.1
   0.73 0.004102 100.04   12.3
   0.74 0.004108 100.19   12.4
   0.76 0.004114 100.32   12.4
   0.77 0.004120 100.47   12.3
   0.78 0.004125 100.61   12.1
   0.79 0.004131 100.75   12.1
   0.80 0.004137 100.88   11.9
   0.81 0.004142 101.01   11.8
   0.82 0.004147 101.13   11.6
   0.83 0.004151 101.23   11.3
   0.84 0.004155 101.33   10.9
   0.86 0.004161 101.48   10.6
   0.87 0.004168 101.64   10.5
   0.88 0.004174 101.79   10.5
   0.89 0.004179 101.92   10.6
   0.90 0.004184 102.04   10.6
   0.91 0.004188 102.15   10.6
   0.92 0.004194 102.28   10.6
   0.93 0.004199 102.40   10.6
   0.94 0.004203 102.51   10.6
   0.96 0.004208 102.64   10.6
   0.97 0.004213 102.75   10.4
   0.98 0.004218 102.86   10.1
   0.99 0.004222 102.98    9.9
   1.00 0.004227 103.10    9.7
   1.01 0.004233 103.24    9.7
   1.02 0.004237 103.34    9.7
   1.03 0.004242 103.46    9.7
   1.04 0.004248 103.59    9.7
   1.06 0.004253 103.71    9.8
   1.07 0.004257 103.82    9.8
   1.08 0.004262 103.93    9.8
   1.09 0.004267 104.06    9.8
   1.10 0.004271 104.15    9.7
   1.11 0.004274 104.24    9.6
   1.12 0.004279 104.36    9.4
   1.13 0.004284 104.49    9.3
   1.15 0.004291 104.65    9.4
   1.16 0.004294 104.73    9.3
   1.17 0.004299 104.85    9.3
   1.18 0.004304 104.97    9.4
   1.19 0.004309 105.10    9.5
   1.20 0.004313 105.17    9.5
   1.21 0.004315 105.23    9.3
   1.22 0.004317 105.29    9.0
   1.23 0.004321 105.39    8.6
   1.25 0.004327 105.51    8.3
   1.26 0.004331 105.62    8.0
   1.27 0.004335 105.72    7.8
   1.28 0.004340 105.84    7.9
   1.29 0.004344 105.94    7.9
   1.30 0.004349 106.06    8.0
   1.31 0.004353 106.15    8.2
   1.32 0.004359 106.30    8.6
   1.33 0.004364 106.42    9.0
   1.35 0.004372 106.62    9.5
   1.36 0.004378 106.78    9.9
   1.37 0.004382 106.88   10.2
   1.38 0.004387 106.98   10.5
   1.39 0.004391 107.10   10.6
   1.40 0.004396 107.21   10.7
   1.41 0.004400 107.32   10.6
   1.42 0.004405 107.43   10.5
   1.44 0.004410 107.54   10.2
   1.45 0.004411 107.58    9.7
   1.46 0.004415 107.68    9.1
   1.47 0.004419 107.78    8.5
   1.48 0.004424 107.90    8.3
   1.49 0.004428 107.99    8.2
   1.50 0.004432 108.10    8.1
   1.51 0.004437 108.20    8.0
   1.53 0.004441 108.30    8.0
   1.54 0.004443 108.36    7.9
   1.55 0.004447 108.46    7.9
   1.56 0.004452 108.58    8.0
   1.57 0.004457 108.69    8.1
   1.58 0.004460 108.77    8.1
   1.59 0.004463 108.84    7.9
   1.60 0.004467 108.93    7.8
   1.62 0.004471 109.04    7.7
   1.63 0.004474 109.11    7.6
   1.64 0.004477 109.19    7.5
   1.65 0.004481 109.29    7.4
   1.66 0.004484 109.35    7.3
   1.67 0.004486 109.41    7.0
   1.68 0.004489 109.47    6.7
   1.69 0.004493 109.57    6.6
   1.71 0.004497 109.68    6.6
   1.72 0.004501 109.78    6.7
   1.73 0.004505 109.88    6.8
   1.74 0.004511 110.01    7.0
   1.75 0.004516 110.14    7.4
   1.76 0.004519 110.21    7.7
   1.77 0.004525 110.36    8.1
   1.78 0.004529 110.45    8.5
   1.79 0.004534 110.57    8.9
   1.81 0.004538 110.68    9.1
   1.82 0.004541 110.76    9.0
   1.83 0.004545 110.83    8.9
   1.84 0.004549 110.93    8.7
   1.85 0.004554 111.07    8.6
   1.86 0.004559 111.18    8.5
   1.87 0.004565 111.32    8.6
   1.89 0.004571 111.47    8.9
   1.90 0.004577 111.62    9.1
   1.91 0.004583 111.77    9.6
   1.92 0.004588 111.90   10.0
   1.93 0.004593 112.03   10.4
   1.94 0.004598 112.14   10.8
   1.95 0.004603 112.25   11.0
   1.96 0.004607 112.36   10.9
   1.98 0.004612 112.48   10.7
   1.99 0.004617 112.61   10.6
   2.00 0.004622 112.73   10.3
   2.01 0.004627 112.83   10.0
   2.02 0.004630 112.91    9.7
   2.03 0.004629 112.89    9.0
   2.04 0.004630 112.92    8.2
   2.05 0.004634 113.02    7.5
