Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000354  -8.64  -27.2
   0.01 0.000028   0.68  -20.2
   0.02 -.000040  -0.97  -18.6
   0.03 0.000001   0.02  -13.4
   0.05 -.000015  -0.37   -9.5
   0.06 -.000037  -0.89   -7.0
   0.07 -.000029  -0.70   -3.4
   0.08 -.000008  -0.20    2.2
   0.09 -.000008  -0.20    7.9
   0.10 -.000027  -0.66   12.3
   0.11 -.000031  -0.75   16.8
   0.12 -.000025  -0.62   22.1
   0.13 -.000053  -1.28   -6.5
   0.14 -.000007  -0.18   -1.1
   0.16 -.000026  -0.64   -2.9
   0.17 -.000026  -0.63   -1.1
   0.18 -.000021  -0.51    0.0
   0.19 -.000010  -0.25    0.1
   0.20 -.000021  -0.52   -0.4
   0.21 -.000028  -0.69    0.4
   0.22 -.000022  -0.55    1.9
   0.23 -.000013  -0.32    2.6
   0.24 -.000017  -0.42    2.5
   0.26 -.000027  -0.67    1.8
   0.27 -.000018  -0.45   -0.5
   0.28 0.000037   0.90    5.0
   0.29 -.000095  -2.31   -2.0
   0.30 -.000016  -0.38   -1.8
   0.31 -.000019  -0.47   -1.7
   0.32 -.000011  -0.27    0.0
   0.33 -.000020  -0.48    0.1
   0.34 -.000022  -0.54   -0.7
   0.36 -.000011  -0.26   -0.1
   0.37 -.000021  -0.50    0.4
   0.38 -.000021  -0.51    0.5
   0.39 0.000025   0.60    3.3
   0.40 -.000019  -0.46    2.9
   0.41 -.000023  -0.56    7.2
   0.42 -.000018  -0.44    0.7
   0.43 -.000023  -0.55   -0.0
   0.44 -.000020  -0.49   -0.8
   0.46 -.000150  -3.67  -10.8
   0.47 -.000340  -8.28  -34.2
   0.48 -.000237  -5.78  -45.4
   0.49 -.000449 -10.94  -68.9
   0.50 -.001076 -26.24 -135.4
   0.51 -.001052 -25.66 -185.4
   0.52 -.001025 -24.98 -214.6
   0.53 -.001039 -25.34 -234.3
   0.54 -.001074 -26.20 -242.8
   0.56 -.003308 -80.66 -407.9
   0.57 -.003235 -78.86 -521.8
   0.58 -.003134 -76.42 -582.7
   0.59 -.003007 -73.32 -602.3
   0.60 -.002873 -70.06 -588.8
   0.61 -.002748 -67.00 -520.9
   0.62 -.002628 -64.06 -427.9
   0.63 -.002516 -61.35 -352.9
   0.64 -.002399 -58.48 -246.5
   0.66 -.002285 -55.70 -110.0
   0.67 -.002176 -53.06   51.0
   0.68 -.002068 -50.43  233.1
   0.69 -.001959 -47.77  234.5
   0.70 -.001843 -44.95  232.6
   0.71 -.001743 -42.50  228.1
   0.72 -.001650 -40.23  222.8
   0.73 -.001561 -38.06  217.6
   0.74 -.001471 -35.86  212.3
   0.76 -.001386 -33.79  206.7
   0.77 -.001301 -31.71  200.4
   0.78 -.001229 -29.98  193.3
   0.79 -.001171 -28.55  184.6
   0.80 -.001126 -27.46  173.7
   0.81 -.001098 -26.78  160.1
   0.82 -.001069 -26.08  145.0
   0.83 -.001041 -25.38  130.2
   0.84 -.001002 -24.42  116.4
   0.86 -.000907 -22.10  107.9
   0.87 -.000812 -19.80  104.3
   0.88 -.000718 -17.51  105.8
   0.89 -.000629 -15.34  111.3
   0.90 -.000537 -13.08  121.0
   0.91 -.000446 -10.88  133.5
   0.92 -.000357  -8.70  147.3
   0.93 -.000266  -6.48  160.7
   0.94 -.000177  -4.31  171.4
   0.96 -.000092  -2.24  178.5
   0.97 -.000025  -0.60  179.6
   0.98 0.000044   1.07  175.4
   0.99 0.000118   2.88  170.9
   1.00 0.000196   4.79  166.6
   1.01 0.000271   6.62  162.6
   1.02 0.000347   8.47  158.7
   1.03 0.000420  10.23  155.1
   1.05 0.000491  11.97  151.8
   1.06 0.000559  13.63  148.8
   1.07 0.000632  15.42  146.9
   1.08 0.000703  17.15  146.0
   1.09 0.000776  18.92  146.0
   1.10 0.000845  20.61  145.4
   1.11 0.000913  22.26  144.0
   1.12 0.000987  24.06  143.0
   1.13 0.001051  25.64  141.8
   1.15 0.001113  27.14  140.3
   1.16 0.001173  28.60  138.5
   1.17 0.001226  29.91  135.8
   1.18 0.001280  31.21  132.5
   1.19 0.001339  32.64  128.8
   1.20 0.001396  34.04  125.3
   1.21 0.001445  35.24  121.3
