Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   0.00 0.005908 144.10  454.5
   0.01 0.005909 144.12  826.4
   0.02 0.005909 144.12 1115.6
   0.03 0.005910 144.15 1322.4
   0.04 0.005911 144.18 1446.5
   0.05 0.005912 144.20 1488.0
   0.07 0.005912 144.20 1446.9
   0.08 0.005912 144.19 1323.0
   0.09 0.005912 144.19 1116.4
   0.10 0.005913 144.21  827.3
   0.11 0.005913 144.23  455.4
   0.12 0.005914 144.25    1.0
   0.13 0.005915 144.27    1.0
   0.14 0.005915 144.27    1.0
   0.15 0.005916 144.29    0.9
   0.17 0.005916 144.30    0.9
   0.18 0.005917 144.31    1.0
   0.19 0.005917 144.33    1.1
   0.20 0.005918 144.33    1.1
   0.21 0.005916 144.29    0.9
   0.22 0.005917 144.32    0.8
   0.23 0.005917 144.31    0.6
   0.24 0.005918 144.33    0.5
   0.25 0.005919 144.36    0.5
   0.27 0.005920 144.38    0.6
   0.28 0.005920 144.39    0.6
   0.29 0.005920 144.40    0.7
   0.30 0.005921 144.40    0.8
   0.31 0.005922 144.43    0.9
   0.32 0.005922 144.44    1.0
   0.33 0.005923 144.45    1.2
   0.34 0.005923 144.46    1.1
   0.35 0.005922 144.44    1.0
   0.37 0.005923 144.46    0.9
   0.38 0.005923 144.46    0.8
   0.39 0.005923 144.46    0.6
   0.40 0.005923 144.47    0.6
   0.41 0.005924 144.48    0.5
   0.42 0.005924 144.49    0.5
   0.43 0.005925 144.52    0.5
   0.44 0.005926 144.52    0.6
   0.45 0.005926 144.53    0.7
   0.47 0.005927 144.55    0.8
   0.48 0.005927 144.55    0.9
   0.49 0.005927 144.55    0.8
   0.50 0.005926 144.54    0.8
   0.51 0.005927 144.55    0.7
   0.52 0.005927 144.57    0.7
   0.53 0.005927 144.56    0.5
   0.54 0.005928 144.58    0.5
   0.55 0.005928 144.57    0.4
   0.57 0.005927 144.56    0.3
   0.58 0.005927 144.57    0.2
   0.59 0.005928 144.58    0.2
   0.60 0.005927 144.55    0.2
   0.61 0.005927 144.55    0.1
   0.62 0.005927 144.57    0.1
   0.63 0.005926 144.55   -0.1
   0.64 0.005926 144.54   -0.2
   0.65 0.005927 144.56   -0.1
   0.67 0.005927 144.57   -0.1
   0.68 0.005928 144.58   -0.0
   0.69 0.005928 144.58    0.1
   0.70 0.005927 144.56    0.1
   0.71 0.005926 144.53   -0.0
   0.72 0.005928 144.57    0.1
   0.73 0.005893 143.74   -2.5
   0.74 0.005771 140.75  -14.1
   0.75 0.005635 137.44  -33.9
   0.77 0.005486 133.80  -61.2
   0.78 0.005340 130.24  -93.5
   0.79 0.005157 125.77 -131.6
   0.80 0.004902 119.54 -178.6
   0.81 0.004665 113.78 -229.4
   0.82 0.004449 108.50 -279.2
   0.83 0.004247 103.57 -323.9
   0.84 0.004056  98.91 -359.9
   0.85 0.003860  94.14 -384.6
   0.87 0.003669  89.48 -398.2
   0.88 0.003467  84.54 -407.4
   0.89 0.003289  80.21 -410.4
   0.90 0.003126  76.22 -406.7
   0.91 0.002966  72.34 -395.5
   0.92 0.002840  69.25 -377.5
   0.93 0.002639  64.34 -365.8
   0.94 0.002456  59.88 -358.0
   0.95 0.002286  55.75 -352.0
   0.97 0.002149  52.41 -344.6
   0.98 0.002013  49.10 -335.8
   0.99 0.001888  46.04 -325.8
   1.00 0.001735  42.30 -317.3
   1.01 0.001584  38.62 -311.8
   1.02 0.001427  34.80 -308.2
   1.03 0.001290  31.45 -304.0
   1.04 0.001141  27.81 -300.0
   1.06 0.000999  24.35 -293.0
   1.07 0.000861  21.00 -289.0
   1.08 0.000714  17.42 -288.1
   1.09 0.000584  14.24 -288.3
   1.10 0.000460  11.21 -286.8
   1.11 0.000349   8.50 -282.4
   1.12 0.000245   5.96 -274.2
   1.13 0.000140   3.42 -265.0
   1.14 0.000033   0.79 -255.5
   1.16 -.000071  -1.74 -246.5
   1.17 -.000170  -4.15 -236.6
   1.18 -.000266  -6.49 -227.3
   1.19 -.000358  -8.72 -218.3
   1.20 -.000445 -10.85 -209.4
   1.21 -.000525 -12.80 -201.8
   1.22 -.000546 -13.30 -190.4
   1.23 -.000565 -13.78 -175.9
   1.24 -.000589 -14.37 -159.1
   1.26 -.000622 -15.18 -141.1
   1.27 -.000664 -16.18 -123.7
   1.28 -.000712 -17.35 -108.5
   1.29 -.000763 -18.61  -96.3
   1.30 -.000819 -19.96  -87.7
   1.31 -.000873 -21.29  -82.9
   1.32 -.000932 -22.72  -82.5
   1.33 -.000990 -24.13  -86.4
   1.35 -.001052 -25.65  -94.8
   1.36 -.001112 -27.12 -102.3
   1.37 -.001176 -28.68 -108.6
   1.38 -.001240 -30.23 -113.4
   1.39 -.001305 -31.82 -117.2
   1.40 -.001368 -33.34 -120.0
   1.41 -.001429 -34.85 -122.0
   1.42 -.001490 -36.33 -123.4
   1.44 -.001549 -37.78 -124.2
   1.45 -.001608 -39.20 -124.2
   1.46 -.001668 -40.67 -123.9
   1.47 -.001725 -42.07 -123.0
   1.48 -.001781 -43.43 -121.7
   1.49 -.001836 -44.77 -120.0
   1.50 -.001906 -46.46 -119.3
   1.51 -.001976 -48.18 -119.6
   1.52 -.002042 -49.79 -120.6
   1.54 -.002104 -51.30 -121.8
   1.55 -.002159 -52.63 -122.5
   1.56 -.002207 -53.82 -122.2
   1.57 -.002256 -55.00 -121.1
   1.58 -.002301 -56.11 -118.8
   1.59 -.000218  -5.32   47.8
   1.60 -.000204  -4.97  190.1
   1.61 -.000080  -1.94  315.5
   1.63 -.000131  -3.19  408.3
   1.64 -.000060  -1.47  476.3
   1.65 0.000010   0.25  517.6
   1.66 0.000054   1.32  528.4
   1.67 0.000064   1.55  505.1
   1.68 -.000146  -3.56  430.3
   1.69 -.000183  -4.45  320.2
   1.70 0.000094   2.29  198.6
   1.72 0.000031   0.77   35.3
   1.73 0.000013   0.32   27.2
   1.74 0.000028   0.68   18.3
   1.75 -.000030  -0.73   13.1
   1.76 0.000016   0.38    6.0
   1.77 0.000049   1.20    5.8
   1.78 0.000010   0.23    7.4
   1.79 0.000012   0.28   13.2
   1.81 -.000749 -18.25  -38.0
   1.82 0.000079   1.93  -33.2
   1.83 0.000574  14.00    3.2
   1.84 0.000030   0.74   12.2
   1.85 0.000112   2.72   22.8
