Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.79 -.000664 -16.20 %-2068.6
   1.80 -.000603 -14.71 %-1163.5
   1.81 -.000654 -15.94 -583.4
   1.82 -.000586 -14.29 -291.7
   1.83 -.000640 -15.61 -155.4
   1.84 -.000572 -13.95  -71.9
   1.85 -.000637 -15.53  -39.9
   1.87 -.000597 -14.56  -14.7
   1.88 -.000707 -17.23  -14.4
   1.89 -.000624 -15.21   -5.9
   1.90 -.000323  -7.88   16.9
   1.91 0.007141 174.18  615.8
   1.92 0.010796 263.38 1378.6
   1.93 0.012666 309.07 2130.7
   1.94 0.013444 328.07 2752.4
   1.96 0.013968 340.87 3223.5
   1.97 0.014086 343.76 3495.0
   1.98 0.014285 348.60 3582.0
   1.99 0.014302 349.02 3456.5
   2.00 0.014421 351.92 3134.8
   2.01 0.014298 348.91 2583.4
   2.02 0.014350 350.20 1833.7
   2.03 0.014317 349.40  899.2
   2.04 0.014316 349.37  438.4
   2.06 0.014266 348.14  205.6
   2.07 0.014299 348.95   97.2
   2.08 0.014271 348.27   34.5
   2.09 0.014303 349.06   10.5
   2.10 0.014245 347.64  -12.0
   2.11 0.014213 346.85  -21.1
   2.12 0.014220 347.01  -27.2
   2.13 0.007143 174.23 -566.2
   2.15 0.003107  75.76 %-1325.0
   2.16 0.001234  30.09 %-2066.5
   2.17 0.000264   6.43 %-2702.1
   2.18 -.000239  -5.82 %-3179.7
   2.19 -.000502 -12.24 %-3478.4
   2.20 -.000620 -15.12 %-3576.6
   2.21 -.000721 -17.59 %-3476.3
   2.22 -.000717 -17.49 %-3163.0
   2.24 -.000755 -18.41 %-2647.7
   2.25 -.000737 -17.96 %-1924.0
   2.26 -.000749 -18.26 -991.5
   2.27 -.000801 -19.54 -497.5
   2.28 -.000813 -19.83 -260.4
   2.29 -.000819 -19.96 -139.1
   2.30 -.000800 -19.51  -75.9
   2.31 -.000786 -19.16  -42.3
   2.33 -.000801 -19.52  -26.2
   2.34 -.000816 -19.90  -17.8
   2.35 -.000821 -20.02  -16.3
   2.36 0.001456  35.51  162.2
   2.37 0.008094 197.44  817.5
   2.38 0.011250 274.49 1593.7
   2.39 0.012749 311.08 2316.5
   2.40 0.013485 329.07 2902.5
   2.41 0.013846 337.89 3315.2
   2.43 0.014067 343.28 3539.4
   2.44 0.014118 344.52 3560.8
   2.45 0.014170 345.80 3378.9
   2.46 0.014125 344.71 2982.8
   2.47 0.014140 345.06 2377.7
   2.48 0.014060 343.10 1556.6
   2.49 0.014108 344.27  737.9
   2.50 0.014079 343.58  343.6
   2.52 0.014118 344.54  155.7
   2.53 0.014078 343.54   60.8
   2.54 0.014098 344.03   16.0
   2.55 0.014068 343.30   -6.9
   2.56 0.014091 343.87  -11.0
   2.57 0.014085 343.71  -11.3
   2.58 0.012912 315.08  -96.7
   2.59 0.005698 138.97 -723.9
   2.61 0.002323  56.64 %-1491.6
   2.62 0.000599  14.61 %-2233.6
   2.63 -.000135  -3.29 %-2839.4
   2.64 -.000519 -12.66 %-3278.1
   2.65 -.000654 -15.96 %-3519.3
   2.66 -.000750 -18.28 %-3564.8
   2.67 -.000801 -19.53 %-3404.9
   2.68 -.000752 -18.32 %-3035.5
   2.70 -.000865 -21.09 %-2465.3
   2.71 -.000839 -20.47 %-1684.5
   2.72 -.000966 -23.55 -811.3
   2.73 -.000920 -22.44 -396.8
   2.74 -.001012 -24.68 -203.7
   2.75 -.000943 -23.00 -115.4
   2.76 -.000925 -22.55  -70.7
   2.77 -.000950 -23.17  -51.9
   2.79 -.000950 -23.16  -39.3
   2.80 -.000987 -24.06  -34.1
   2.81 -.000938 -22.87  -26.5
   2.82 0.003219  78.51  307.3
   2.83 0.008789 214.39 1003.8
   2.84 0.011361 277.19 1765.6
   2.85 0.012712 310.19 2449.3
   2.86 0.013283 324.13 2989.8
   2.88 0.013703 334.39 3355.5
   2.89 0.013787 336.44 3528.1
   2.90 0.013934 340.04 3507.5
   2.91 0.013883 338.79 3272.9
   2.92 0.013962 340.73 2836.7
   2.93 0.013916 339.60 2185.1
   2.94 0.013952 340.47 1332.0
   2.95 0.013836 337.63  639.6
   2.96 0.013887 338.89  309.0
   2.98 0.013831 337.52  136.7
   2.99 0.013865 338.36   55.5
   3.00 0.013807 336.92    5.6
   3.01 0.013872 338.52   -8.4
   3.02 0.013782 336.33  -24.0
   3.03 0.013833 337.56  -22.2
   3.04 0.010471 255.46 -282.7
   3.05 0.004440 108.29 -952.2
   3.07 0.001476  36.00 %-1720.7
   3.08 0.000157   3.83 %-2413.3
   3.09 -.000578 -14.09 %-2980.0
   3.10 -.000763 -18.61 %-3354.5
   3.11 -.000997 -24.32 %-3547.2
   3.12 -.000992 -24.18 %-3528.8
   3.13 -.001126 -27.45 %-3318.1
   3.14 -.001064 -25.95 %-2887.9
   3.16 -.001188 -28.98 %-2266.3
   3.17 -.001032 -25.17 %-1418.7
   3.18 -.001079 -26.31 -672.7
   3.19 -.000990 -24.14 -306.9
   3.20 -.001093 -26.64 -142.4
   3.21 -.001037 -25.29  -57.6
   3.22 -.001142 -27.85  -31.0
   3.23 -.001117 -27.23  -11.5
   3.25 -.001172 -28.56  -12.4
   3.26 -.001067 -26.02   -2.4
   3.27 -.001179 -28.74  -12.1
   3.28 0.004837 117.98  447.2
   3.29 0.009491 231.53 1170.9
   3.30 0.011806 288.05 1937.7
   3.31 0.012880 314.28 2603.3
   3.32 0.013463 328.52 3126.6
   3.33 0.013689 334.05 3455.8
   3.35 0.013856 338.13 3596.0
   3.36 0.013870 338.46 3519.4
   3.37 0.013936 340.07 3240.2
   3.38 0.013930 339.94 2744.9
   3.39 0.013974 341.00 2051.1
   3.40 0.013942 340.22 1134.2
   3.41 0.013969 340.89  554.8
   3.42 0.013913 339.52  266.5
   3.44 0.013911 339.47  126.7
   3.45 0.013906 339.36   54.8
   3.46 0.013932 339.98   23.7
   3.47 0.013890 338.95    3.3
   3.48 0.013961 340.69    0.8
   3.49 0.013961 340.70   -1.9
   3.50 0.008856 216.03 -393.0
   3.51 0.003755  91.58 %-1106.1
   3.53 0.001423  34.69 %-1852.1
   3.54 0.000224   5.46 %-2517.7
   3.55 -.000224  -5.47 %-3023.2
   3.56 -.000547 -13.33 %-3360.0
   3.57 -.000565 -13.79 %-3496.2
   3.58 -.000652 -15.91 %-3436.8
   3.59 -.000667 -16.25 %-3172.6
   3.60 -.000677 -16.51 %-2708.6
   3.62 -.000730 -17.81 %-2038.5
   3.63 -.000731 -17.83 %-1162.8
   3.64 -.000710 -17.32 -544.6
   3.65 -.000651 -15.86 -251.9
   3.66 -.000694 -16.92 -112.9
   3.67 -.000573 -13.98  -44.0
   3.68 -.000685 -16.70  -13.3
   3.69 -.000647 -15.78   -2.5
   3.70 -.000692 -16.87    4.5
   3.72 -.000590 -14.38   13.2
   3.73 -.000638 -15.55   16.1
   3.74 0.006701 163.45  582.2
   3.75 0.010537 257.07 1335.5
   3.76 0.012511 305.28 2083.2
   3.77 0.013301 324.58 2708.3
   3.78 0.013824 337.34 3183.0
   3.79 0.013973 341.00 3462.8
   3.81 0.014192 346.34 3565.2
   3.82 0.014108 344.29 3444.4
   3.83 0.014269 348.23 3132.4
   3.84 0.014176 345.95 2600.4
   3.85 0.014289 348.69 1878.3
   3.86 0.014201 346.54  936.9
   3.87 0.014314 349.30  463.7
   3.88 0.014164 345.64  221.4
   3.89 0.014248 347.70  114.4
   3.91 0.014166 345.69   48.7
   3.92 0.014279 348.46   27.2
   3.93 0.014184 346.15    5.7
   3.94 0.014305 349.11   10.5
   3.95 0.014212 346.83   -1.2
   3.96 0.007706 187.97 -500.6
   3.97 0.003298  80.42 %-1255.8
   3.98 0.001304  31.81 %-2001.9
   4.00 0.000216   5.27 %-2657.9
   4.01 -.000229  -5.60 %-3142.3
   4.02 -.000525 -12.81 %-3459.5
   4.03 -.000636 -15.52 %-3572.1
   4.04 -.000688 -16.77 %-3487.8
   4.05 -.000774 -18.88 %-3192.0
   4.06 -.000742 -18.10 %-2691.7
   4.07 -.000797 -19.43 %-1975.7
   4.09 -.000734 -17.89 %-1052.1
   4.10 -.000819 -19.96 -517.9
   4.11 -.000716 -17.46 -257.5
   4.12 -.000791 -19.28 -127.8
   4.13 -.000745 -18.18  -64.4
   4.14 -.000838 -20.42  -35.0
   4.15 -.000788 -19.22  -20.3
   4.16 -.000751 -18.31   -9.1
   4.18 -.000804 -19.60   -5.0
   4.19 0.000798  19.46  116.0
   4.20 0.007745 188.92  752.4
   4.21 0.011128 271.50 1525.5
   4.22 0.012611 307.72 2251.8
   4.23 0.013498 329.39 2852.1
   4.24 0.013782 336.33 3283.2
   4.25 0.014081 343.61 3527.6
   4.26 0.014118 344.52 3570.9
   4.28 0.014215 346.89 3405.3
   4.29 0.014210 346.77 3033.3
   4.30 0.014230 347.27 2456.2
   4.31 0.014174 345.89 1660.5
   4.32 0.014220 347.02  804.2
   4.33 0.014196 346.43  389.9
   4.34 0.014163 345.63  190.6
   4.35 0.014131 344.85   81.3
   4.37 0.014051 342.89   25.3
   4.38 0.014045 342.75  -13.1
   4.39 0.014014 341.98  -30.3
   4.40 0.014035 342.51  -41.7
   4.41 0.013670 333.58  -71.1
   4.42 0.006442 157.13 -649.9
   4.43 0.002639  64.35 %-1410.7
   4.44 0.000879  21.43 %-2149.8
   4.46 0.000005   0.11 %-2765.8
   4.47 -.000360  -8.78 %-3213.1
   4.48 -.000648 -15.79 %-3481.9
   4.49 -.000695 -16.96 %-3550.0
   4.50 -.000838 -20.42 %-3428.8
   4.51 -.000727 -17.73 %-3091.4
   4.52 -.000817 -19.91 %-2557.0
   4.54 -.000680 -16.58 %-1802.6
   4.55 -.000759 -18.51 -881.7
   4.56 -.000807 -19.68 -420.2
   4.57 -.000847 -20.66 -206.3
   4.58 -.000934 -22.78 -110.2
   4.59 -.000835 -20.37  -60.7
   4.60 -.000883 -21.53  -36.2
   4.61 -.000801 -19.53  -24.2
   4.62 -.000872 -21.26  -19.9
   4.64 -.000917 -22.36  -29.5
   4.65 0.003031  73.93  275.7
   4.66 0.008696 212.13  956.1
   4.67 0.011571 282.33 1737.2
   4.68 0.012852 313.60 2438.4
   4.69 0.013511 329.71 2995.6
   4.70 0.013813 337.07 3371.9
   4.71 0.013933 340.01 3544.6
   4.73 0.014090 343.84 3530.3
   4.74 0.014094 343.93 3303.1
   4.75 0.014241 347.53 2885.1
   4.76 0.014170 345.81 2244.7
   4.77 0.014303 349.05 1400.0
   4.78 0.014202 346.58  693.4
   4.79 0.014288 348.68  352.2
   4.80 0.014292 348.77  194.6
   4.82 0.014283 348.56  114.9
   4.83 0.014306 349.12   76.9
   4.84 0.014297 348.91   54.5
   4.85 0.014258 347.96   33.3
   4.86 0.014216 346.93   18.6
   4.87 0.011178 272.73 -231.6
   4.88 0.004991 121.72 -903.7
   4.89 0.002097  51.13 %-1675.5
   4.90 0.000692  16.88 %-2374.2
   4.92 0.000062   1.50 %-2940.1
   4.93 -.000303  -7.39 %-3328.4
   4.94 -.000436 -10.64 %-3522.4
   4.95 -.000563 -13.72 %-3520.8
   4.96 -.000642 -15.64 %-3315.4
   4.97 -.000681 -16.61 %-2904.7
   4.98 -.000743 -18.12 %-2292.8
   4.99 -.000721 -17.57 %-1473.0
   5.01 -.000757 -18.45 -723.5
   5.02 -.000724 -17.65 -367.4
   5.03 -.000737 -17.96 -195.5
   5.04 -.000772 -18.82 -114.3
   5.05 -.000811 -19.77  -73.0
   5.06 -.000811 -19.77  -52.6
   5.07 -.000762 -18.57  -33.4
   5.08 -.000780 -19.02  -22.6
   5.10 -.000799 -19.47  -17.3
   5.11 0.004948 120.67  428.5
   5.12 0.009634 235.04 1150.7
   5.13 0.011892 290.15 1903.6
   5.14 0.012981 316.75 2560.6
   5.15 0.013552 330.70 3072.5
   5.16 0.013824 337.34 3404.3
   5.17 0.014012 341.93 3543.7
   5.18 0.014101 344.12 3479.6
