Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.001365 -33.28 -104.9
   0.01 -.001349 -32.89 -189.6
   0.02 -.001298 -31.64 -251.5
   0.03 -.001236 -30.14 -290.4
   0.04 -.001278 -31.17 -315.4
   0.05 -.001242 -30.28 -319.6
   0.07 -.001239 -30.22 -306.3
   0.08 -.001184 -28.87 -271.4
   0.09 -.001199 -29.24 -221.1
   0.10 -.001144 -27.89 -149.9
   0.11 -.001192 -29.06  -66.3
   0.12 0.005448 132.87  544.7
   0.13 0.009829 239.78 1292.6
   0.14 0.012023 293.35 2054.3
   0.15 0.013026 317.86 2711.0
   0.17 0.013557 330.82 3213.6
   0.18 0.013773 336.09 3522.1
   0.19 0.013931 339.95 3635.5
   0.20 0.013970 340.90 3539.8
   0.21 0.014031 342.39 3241.0
   0.22 0.014033 342.44 2728.1
   0.23 0.014062 343.17 2009.4
   0.24 0.014006 341.78 1069.1
   0.25 0.014044 342.71  522.7
   0.27 0.014000 341.65  251.2
   0.28 0.014017 342.06  122.1
   0.29 0.013978 341.10   53.5
   0.30 0.014037 342.56   24.5
   0.31 0.013972 340.96    3.3
   0.32 0.014032 342.43   -1.7
   0.33 0.013960 340.67  -10.0
   0.34 0.010564 257.74 -274.3
   0.35 0.004443 108.35 -961.0
   0.37 0.001541  37.58 %-1733.9
   0.38 0.000124   3.02 %-2445.7
   0.39 -.000540 -13.16 %-3010.9
   0.40 -.000899 -21.93 %-3403.6
   0.41 -.001079 -26.30 %-3600.1
   0.42 -.001104 -26.93 %-3590.9
   0.43 -.001139 -27.78 %-3367.9
   0.44 -.001115 -27.19 %-2936.7
   0.45 -.001122 -27.37 %-2289.4
   0.47 -.001116 -27.20 %-1436.1
   0.48 -.001042 -25.41 -675.3
   0.49 -.001079 -26.32 -311.9
   0.50 -.001018 -24.81 -130.2
   0.51 -.000988 -24.08  -39.3
   0.52 -.000958 -23.37    9.1
   0.53 -.001011 -24.66   26.6
   0.54 -.000984 -23.99   31.5
   0.55 -.000988 -24.10   32.4
   0.56 -.000993 -24.20   28.1
   0.58 0.003742  91.26  388.2
   0.59 0.009159 223.44 1096.5
   0.60 0.011724 286.05 1859.1
   0.61 0.012989 316.96 2546.2
   0.62 0.013625 332.48 3082.6
   0.63 0.013925 339.81 3442.0
   0.64 0.014078 343.54 3606.8
   0.65 0.014169 345.78 3570.5
   0.66 0.014133 344.88 3314.8
   0.68 0.014163 345.62 2852.1
   0.69 0.014236 347.41 2182.7
   0.70 0.014262 348.05 1301.9
   0.71 0.014297 348.89  640.6
   0.72 0.014312 349.27  325.5
   0.73 0.014304 349.06  170.9
   0.74 0.014277 348.42   93.4
   0.75 0.014252 347.81   53.7
   0.77 0.014284 348.58   35.0
   0.78 0.014241 347.53   21.9
   0.79 0.014316 349.36   20.6
   0.80 0.012755 311.22 -106.4
   0.81 0.005715 139.39 -753.2
   0.82 0.002285  55.71 %-1539.1
   0.83 0.000673  16.40 %-2279.2
   0.84 -.000199  -4.84 %-2893.1
   0.85 -.000581 -14.17 %-3332.1
   0.87 -.000814 -19.85 %-3581.4
   0.88 -.000904 -22.05 %-3628.5
   0.89 -.000931 -22.70 %-3467.4
   0.90 -.000954 -23.27 %-3092.9
   0.91 -.000993 -24.20 %-2511.9
   0.92 -.000976 -23.79 %-1709.7
   0.93 -.000981 -23.93 -836.1
   0.94 -.001004 -24.47 -412.5
   0.95 -.000964 -23.51 -203.8
   0.96 -.000964 -23.51  -96.1
   0.98 -.000944 -23.01  -43.2
   0.99 -.000985 -24.01  -17.8
   1.00 -.000968 -23.61   -6.7
   1.01 -.001028 -25.05   -6.2
   1.02 -.001001 -24.41   -4.3
   1.03 0.002635  64.27  276.1
   1.04 0.008599 209.77  961.7
   1.05 0.011371 277.45 1728.2
   1.07 0.012788 312.05 2430.5
   1.08 0.013431 327.74 2987.6
   1.09 0.013821 337.26 3376.3
   1.10 0.013888 338.90 3563.4
   1.11 0.013964 340.77 3550.4
   1.12 0.013965 340.79 3325.1
   1.13 0.013980 341.16 2893.3
   1.14 0.013964 340.77 2245.8
   1.15 0.014023 342.21 1395.4
   1.17 0.013971 340.93  661.2
   1.18 0.013986 341.31  312.0
   1.19 0.014034 342.48  143.2
   1.20 0.014028 342.32   65.7
   1.21 0.014054 342.96   31.2
   1.22 0.014065 343.23   24.4
   1.23 0.014067 343.28   20.4
   1.24 0.014035 342.49   18.4
