Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000386  -9.42  -29.7
   0.01 -.000055  -1.33  -28.5
   0.02 -.000008  -0.18  -22.9
   0.03 -.000007  -0.18  -17.2
   0.04 -.000007  -0.18  -11.4
   0.05 -.000007  -0.16   -5.5
   0.07 -.000005  -0.12    0.7
   0.08 -.000008  -0.19    6.8
   0.09 -.000008  -0.19   12.9
   0.10 -.000007  -0.17   19.3
   0.11 -.000006  -0.16   25.7
   0.12 -.000006  -0.15   32.3
   0.13 -.000006  -0.14    3.9
   0.14 -.000007  -0.17    0.2
   0.15 -.000007  -0.17    0.1
   0.17 -.000006  -0.16    0.1
   0.18 -.000007  -0.16    0.0
   0.19 -.000006  -0.16   -0.0
   0.20 -.000006  -0.15    0.2
   0.21 -.000006  -0.14    0.1
   0.22 -.000006  -0.14    0.1
   0.23 -.000005  -0.12    0.2
   0.24 -.000006  -0.16    0.1
   0.25 -.000006  -0.14    0.2
   0.27 -.000007  -0.16    0.2
   0.28 0.002618  63.84  201.9
   0.29 0.004099  99.96  480.9
   0.30 0.004100 100.00  702.6
   0.31 0.004101 100.02  867.0
   0.32 0.004102 100.04  973.9
   0.33 0.004102 100.05 1023.5
   0.34 0.004103 100.07 1015.7
   0.35 0.004104 100.09  950.5
   0.37 0.004105 100.10  828.0
   0.38 0.004105 100.11  647.8
   0.39 0.004105 100.11  410.3
   0.40 0.004106 100.13  115.2
   0.41 0.004106 100.15    1.2
   0.42 0.004107 100.17    1.2
   0.43 0.004108 100.18    1.1
   0.44 0.004108 100.19    1.1
   0.45 0.004109 100.21    1.1
   0.47 0.004110 100.22    1.1
   0.48 0.004110 100.24    1.2
   0.49 0.004111 100.26    1.3
   0.50 0.004112 100.28    1.3
   0.51 0.004112 100.29    1.4
   0.52 0.004114 100.32    1.4
   0.53 0.004114 100.34    1.4
   0.54 0.004114 100.34    1.4
   0.55 0.004116 100.37    1.4
   0.57 0.004116 100.38    1.4
   0.58 0.004117 100.40    1.4
   0.59 0.004118 100.42    1.4
   0.60 -.000005  -0.12 -315.7
   0.61 -.000006  -0.14 -575.3
   0.62 -.000005  -0.13 -777.2
   0.63 -.000006  -0.14 -921.6
   0.64 -.000006  -0.16 %-1008.3
   0.65 -.000006  -0.14 %-1037.3
   0.67 -.000006  -0.14 %-1008.6
   0.68 -.000011  -0.26 -922.7
   0.69 -.000007  -0.16 -778.7
   0.70 -.000007  -0.17 -577.0
   0.71 -.000006  -0.16 -317.6
   0.72 -.000008  -0.19   -0.5
   0.73 -.000009  -0.21   -0.5
   0.74 -.000008  -0.19   -0.4
   0.75 -.000007  -0.17   -0.3
   0.77 -.000006  -0.15   -0.1
   0.78 -.000006  -0.16    0.0
   0.79 -.000008  -0.19    0.1
   0.80 -.000006  -0.15    0.3
   0.81 -.000007  -0.17    0.1
   0.82 -.000007  -0.17    0.1
   0.83 -.000008  -0.20    0.0
   0.84 -.000008  -0.19    0.0
   0.85 -.000008  -0.19   -0.0
   0.87 -.000007  -0.16   -0.1
   0.88 -.000008  -0.19   -0.2
   0.89 -.000007  -0.18   -0.2
   0.90 -.000007  -0.17   -0.1
   0.91 -.000006  -0.14    0.1
   0.92 -.000006  -0.16    0.1
   0.93 -.000005  -0.13    0.3
   0.94 -.000006  -0.15    0.4
   0.95 -.000007  -0.17    0.4
   0.97 -.000005  -0.13    0.4
   0.98 -.000007  -0.17    0.3
   0.99 -.000007  -0.16    0.2
   1.00 -.000007  -0.18    0.1
   1.01 -.000007  -0.17   -0.1
   1.02 -.000008  -0.21   -0.3
   1.03 -.000008  -0.18   -0.4
   1.04 -.000001  -0.03    0.1
   1.06 -.000006  -0.16    0.1
   1.07 -.000007  -0.17    0.1
   1.08 -.000005  -0.13    0.2
   1.09 -.000005  -0.12    0.3
   1.10 -.000013  -0.32   -0.2
   1.11 -.000007  -0.18   -0.2
   1.12 -.000005  -0.12   -0.0
   1.13 -.000006  -0.14   -0.0
   1.14 -.000006  -0.14   -0.0
   1.16 -.000006  -0.16   -0.2
   1.17 -.000007  -0.17   -0.4
   1.18 -.000006  -0.14    0.1
   1.19 -.000007  -0.16    0.1
   1.20 -.000007  -0.17    0.1
   1.21 -.000006  -0.15    0.3
   1.22 -.000006  -0.14    0.5
   1.23 -.000007  -0.17   -0.1
   1.24 -.000007  -0.16   -0.2
   1.26 -.000005  -0.13   -0.0
   1.27 -.000007  -0.17   -0.0
   1.28 -.000006  -0.15    0.0
   1.29 -.000006  -0.15    0.1
   1.30 -.000006  -0.14    0.1
   1.31 -.000007  -0.16    0.1
   1.32 -.000004  -0.09    0.3
   1.33 -.000007  -0.16    0.1
   1.35 -.000005  -0.13    0.2
   1.36 -.000006  -0.15    0.2
   1.37 -.000005  -0.12    0.2
   1.38 -.000320  -7.80  -24.0
   1.39 -.000233  -5.69  -37.1
   1.40 -.000025  -0.60  -31.1
   1.41 0.000036   0.89  -20.1
   1.42 -.000008  -0.19  -13.0
   1.44 -.000007  -0.16   -5.8
   1.45 -.000012  -0.28    0.9
   1.46 -.000010  -0.25    8.1
   1.47 -.000007  -0.18   15.4
   1.48 -.000006  -0.16   22.8
   1.49 -.000006  -0.15   30.2
   1.50 -.000006  -0.15   37.7
   1.51 -.000006  -0.16   16.6
   1.52 -.000007  -0.18   -1.1
   1.54 -.000006  -0.15   -2.9
   1.55 -.000008  -0.20    0.4
   1.56 -.000006  -0.14    0.5
   1.57 -.000008  -0.19    0.5
   1.58 -.000009  -0.21    0.1
   1.59 -.000003  -0.06    0.1
   1.60 0.000635  15.49   49.4
   1.62 0.003897  95.05  340.7
   1.63 0.004292 104.67  607.8
   1.64 0.004370 106.58  820.8
