Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.98 -.005845 %-142.49 %-2522.9
   0.99 -.005858 %-142.82 %-1430.7
   1.00 -.005891 %-143.62 -688.6
   1.01 -.005901 %-143.87 -330.8
   1.02 -.005934 %-144.66 -163.3
   1.03 -.005954 %-145.16  -85.5
   1.04 -.005996 %-146.18  -53.7
   1.06 -.006056 %-147.64  -47.9
   1.07 -.006080 %-148.22  -49.3
   1.08 -.006055 %-147.61  -49.1
   1.09 -.006071 %-147.99  -50.7
   1.10 0.001937  47.23  567.9
   1.11 0.007282 177.62 1487.5
   1.12 0.009820 239.57 2417.7
   1.13 0.011077 270.25 3222.5
   1.15 0.011674 284.82 3834.9
   1.16 0.011971 292.09 4221.5
   1.17 0.012090 294.99 4364.9
   1.18 0.012164 296.80 4257.9
   1.19 0.012176 297.09 3892.3
   1.20 0.012205 297.79 3271.7
   1.21 0.012242 298.70 2400.5
   1.22 0.012206 297.83 1269.3
   1.23 0.012244 298.76  612.9
   1.25 0.012258 299.09  299.3
   1.26 0.012279 299.62  148.7
   1.27 0.012310 300.37   80.4
   1.28 0.012350 301.34   52.2
   1.29 0.012326 300.75   39.7
   1.30 0.012330 300.86   33.4
   1.31 0.012320 300.60   29.7
   1.32 0.006216 151.61 -445.0
   1.33 -.000087  -2.11 %-1318.5
   1.35 -.003156 -76.95 %-2252.7
   1.36 -.004637 %-113.04 %-3088.5
   1.37 -.005361 %-130.70 %-3740.9
   1.38 -.005658 %-137.94 %-4168.8
   1.39 -.005788 %-141.11 %-4354.0
   1.40 -.005892 %-143.65 %-4291.7
   1.41 -.005983 %-145.85 %-3978.1
   1.42 -.006048 %-147.44 %-3415.3
   1.44 -.006054 %-147.58 %-2595.5
   1.45 -.006033 %-147.08 %-1517.9
   1.46 -.006045 %-147.36 -739.9
   1.47 -.006063 %-147.80 -364.8
   1.48 -.006077 %-148.14 -186.1
   1.49 -.006114 %-149.05 -104.0
   1.50 -.006114 %-149.05  -67.1
   1.51 -.006107 %-148.88  -46.1
   1.52 -.006102 %-148.76  -30.3
   1.54 -.006146 %-149.83  -22.9
   1.55 -.006178 %-150.61  -22.7
   1.56 0.002177  53.10  616.8
   1.57 0.007372 179.83 1540.5
   1.58 0.009882 241.08 2471.5
   1.59 0.011132 271.59 3275.1
   1.60 0.011715 285.83 3881.7
   1.61 0.012120 295.71 4269.6
   1.63 0.012229 298.40 4408.0
   1.64 0.012287 299.81 4294.3
   1.65 0.012321 300.64 3926.5
   1.66 0.012361 301.62 3304.4
   1.67 0.012402 302.61 2423.2
   1.68 0.012394 302.43 1279.1
   1.69 0.012421 303.07  636.5
   1.70 0.012410 302.80  322.1
   1.72 0.012419 303.03  166.2
   1.73 0.012411 302.82   87.8
   1.74 0.012391 302.35   43.1
   1.75 0.012385 302.20   25.3
   1.76 0.012344 301.19   10.6
   1.77 0.012305 300.24   -3.4
   1.78 0.004968 121.17 -579.4
   1.79 -.000741 -18.08 %-1487.9
   1.81 -.003534 -86.15 %-2424.2
   1.82 -.004827 %-117.67 %-3237.6
   1.83 -.005483 %-133.66 %-3858.1
   1.84 -.005784 %-141.01 %-4252.4
   1.85 -.005913 %-144.14 %-4401.2
   1.86 -.005970 %-145.55 %-4298.8
   1.87 -.006013 %-146.59 %-3944.4
   1.88 -.006001 %-146.29 %-3332.1
   1.89 -.005976 %-145.69 %-2464.5
   1.91 -.006000 %-146.27 %-1346.1
   1.92 -.005981 %-145.82 -637.6
   1.93 -.005979 %-145.75 -294.8
   1.94 -.005980 %-145.79 -132.6
   1.95 -.005965 %-145.43  -52.6
   1.96 -.005954 %-145.16  -15.5
   1.97 -.005971 %-145.56   -0.4
   1.98 -.005971 %-145.57    5.7
   2.00 -.005959 %-145.27    8.2
   2.01 -.005679 %-138.45   28.2
   2.02 0.003424  83.50  744.7
   2.03 0.008075 196.98 1689.5
   2.04 0.010303 251.37 2607.1
   2.05 0.011389 277.88 3382.1
   2.06 0.011880 289.86 3952.1
   2.07 0.012099 295.21 4289.1
   2.09 0.012240 298.65 4385.4
   2.10 0.012327 300.78 4234.8
   2.11 0.012382 302.14 3831.2
   2.12 0.012443 303.62 3175.6
   2.13 0.012453 303.86 2264.3
   2.14 0.012522 305.53 1126.1
   2.15 0.012605 307.58  567.0
   2.16 0.012607 307.63  302.6
   2.18 0.012586 307.09  175.7
   2.19 0.012557 306.41  113.6
   2.20 0.012606 307.59   83.5
   2.21 0.012614 307.80   63.8
   2.22 0.012616 307.83   49.8
   2.23 0.012642 308.47   40.5
   2.24 0.004200 102.42 -617.9
   2.25 -.000984 -24.00 %-1555.1
   2.27 -.003477 -84.77 %-2495.2
   2.28 -.004625 %-112.75 %-3294.4
   2.29 -.005251 %-128.02 %-3894.3
   2.30 -.005532 %-134.88 %-4265.8
   2.31 -.005678 %-138.42 %-4396.8
   2.32 -.005739 %-139.90 %-4279.5
   2.33 -.005793 %-141.24 %-3906.1
   2.34 -.005806 %-141.55 %-3275.6
   2.36 -.005786 %-141.05 %-2385.6
   2.37 -.005803 %-141.46 %-1237.2
   2.38 -.005807 %-141.56 -599.1
   2.39 -.005823 %-141.97 -293.6
   2.40 -.005831 %-142.14 -147.6
   2.41 -.005792 %-141.19  -69.8
   2.42 -.005780 %-140.90  -31.8
   2.43 -.005778 %-140.85  -11.8
   2.44 -.005790 %-141.16   -2.6
   2.46 -.005809 %-141.62    1.2
   2.47 -.004314 %-105.17  116.1
   2.48 0.004460 108.78  883.8
   2.49 0.008592 209.60 1827.8
   2.50 0.010621 259.11 2725.4
   2.51 0.011541 281.58 3463.7
   2.52 0.011994 292.64 3992.8
   2.53 0.012238 298.60 4290.8
   2.55 0.012337 301.03 4347.3
   2.56 0.012393 302.39 4155.6
   2.57 0.012400 302.56 3710.4
   2.58 0.012434 303.38 3012.4
   2.59 0.012419 303.03 2056.6
   2.60 0.012439 303.51  983.2
   2.61 0.012422 303.10  471.7
   2.62 0.012438 303.49  225.7
   2.64 0.012473 304.34  113.2
   2.65 0.012501 305.03   60.5
   2.66 0.012503 305.07   35.9
   2.67 0.012489 304.74   25.2
   2.68 0.012494 304.86   20.5
   2.69 0.011995 292.68  -19.7
   2.70 0.002913  71.04 -752.8
   2.71 -.001636 -39.89 %-1699.9
   2.73 -.003822 -93.19 %-2619.6
   2.74 -.004858 %-118.44 %-3390.0
   2.75 -.005411 %-131.91 %-3962.4
   2.76 -.005657 %-137.91 %-4302.8
   2.77 -.005813 %-141.71 %-4398.9
   2.78 -.005898 %-143.77 %-4243.2
   2.79 -.005980 %-145.78 %-3836.3
   2.80 -.006009 %-146.48 %-3174.3
   2.81 -.005990 %-146.03 %-2251.7
   2.83 -.005987 %-145.95 %-1115.7
   2.84 -.005942 %-144.87 -550.9
   2.85 -.005938 %-144.75 -275.3
   2.86 -.005965 %-145.43 -140.4
   2.87 -.006027 %-146.93  -74.4
   2.88 -.006025 %-146.87  -42.2
   2.89 -.006024 %-146.85  -23.6
   2.90 -.006064 %-147.84  -17.2
   2.92 -.006027 %-146.93  -12.1
   2.93 -.002421 -59.04  264.6
   2.94 0.005240 127.80 1078.1
   2.95 0.008890 216.88 2017.0
   2.96 0.010672 260.38 2885.3
   2.97 0.011543 281.64 3591.6
   2.98 0.011986 292.45 4087.9
   2.99 0.012219 298.14 4349.0
   3.01 0.012317 300.55 4357.6
   3.02 0.012414 302.90 4117.4
   3.03 0.012465 304.15 3623.2
   3.04 0.012477 304.43 2867.7
   3.05 0.012552 306.27 1861.9
   3.06 0.012513 305.33  921.0
   3.07 0.012515 305.37  467.6
   3.08 0.012516 305.39  244.4
   3.10 0.012523 305.56  133.2
   3.11 0.012539 305.97   76.6
   3.12 0.012548 306.19   47.0
   3.13 0.012532 305.79   29.5
   3.14 0.012502 305.05   14.3
   3.15 0.010317 251.70 -163.0
   3.16 0.001812  44.18 -960.8
   3.17 -.002169 -52.89 %-1914.6
   3.18 -.004105 %-100.07 %-2805.4
   3.20 -.005050 %-123.11 %-3539.4
   3.21 -.005466 %-133.25 %-4059.6
   3.22 -.005711 %-139.22 %-4346.9
   3.23 -.005839 %-142.35 %-4388.6
   3.24 -.005917 %-144.26 %-4178.0
   3.25 -.005952 %-145.11 %-3711.0
   3.26 -.005986 %-145.93 %-2989.3
   3.27 -.005975 %-145.67 %-2010.5
   3.29 -.006006 %-146.42 -974.5
   3.30 -.005967 %-145.46 -480.6
   3.31 -.005982 %-145.82 -241.0
   3.32 -.005983 %-145.85 -124.0
   3.33 -.005992 %-146.07  -67.3
   3.34 -.006023 %-146.83  -37.6
   3.35 -.006006 %-146.41  -21.1
   3.36 -.006028 %-146.96  -13.9
   3.38 -.006012 %-146.56   -9.8
   3.39 -.000522 -12.72  414.5
   3.40 0.006216 151.61 1278.0
   3.41 0.009369 228.56 2214.7
   3.42 0.010922 266.46 3053.5
   3.43 0.011653 284.32 3715.4
   3.44 0.012012 293.09 4157.1
   3.45 0.012215 298.04 4362.7
   3.47 0.012347 301.26 4323.1
   3.48 0.012370 301.83 4026.0
   3.49 0.012377 301.99 3473.7
   3.50 0.012446 303.68 2667.5
   3.51 0.012437 303.46 1603.7
   3.52 0.012481 304.54  784.1
   3.53 0.012480 304.53  395.0
   3.54 0.012506 305.16  207.1
   3.56 0.012492 304.80  115.4
   3.57 0.012517 305.42   70.2
   3.58 0.012489 304.73   43.4
   3.59 0.012493 304.83   28.7
   3.60 0.012516 305.41   23.9
   3.61 0.008094 197.43 -321.6
   3.62 0.000825  20.12 %-1165.9
   3.63 -.002613 -63.70 %-2106.6
   3.65 -.004286 %-104.50 %-2966.2
   3.66 -.005142 %-125.36 %-3653.6
   3.67 -.005509 %-134.30 %-4122.7
   3.68 -.005709 %-139.17 %-4353.2
   3.69 -.005799 %-141.36 %-4337.1
   3.70 -.005859 %-142.84 %-4067.6
   3.71 -.005897 %-143.75 %-3546.5
   3.72 -.005915 %-144.20 %-2769.2
   3.73 -.005970 %-145.55 %-1736.5
   3.75 -.005951 %-145.08 -846.2
   3.76 -.005977 %-145.71 -422.4
   3.77 -.005964 %-145.38 -214.9
   3.78 -.005972 %-145.59 -113.3
   3.79 -.005950 %-145.05  -64.2
   3.80 -.005937 %-144.74  -36.1
   3.81 -.005922 %-144.37  -19.0
   3.82 -.005933 %-144.64   -8.0
   3.84 -.005969 %-145.51   -3.3
   3.85 0.001032  25.16  537.8
   3.86 0.006902 168.35 1431.9
   3.87 0.009717 237.06 2358.4
   3.88 0.011130 271.55 3176.2
   3.89 0.011791 287.69 3803.5
   3.90 0.012114 295.57 4208.4
   3.91 0.012292 299.93 4373.5
   3.93 0.012367 301.74 4290.8
   3.94 0.012446 303.69 3959.1
   3.95 0.012483 304.58 3374.6
   3.96 0.012483 304.58 2531.6
   3.97 0.012496 304.92 1428.8
   3.98 0.012533 305.81  706.7
   3.99 0.012496 304.90  354.4
   4.00 0.012475 304.39  178.4
   4.01 0.012519 305.48   95.7
   4.03 0.012518 305.45   53.7
   4.04 0.012531 305.76   31.8
   4.05 0.012546 306.13   21.5
   4.06 0.012549 306.20   14.6
   4.07 0.006470 157.80 -455.6
   4.08 0.000076   1.84 %-1330.7
   4.09 -.002967 -72.35 %-2266.2
   4.10 -.004453 %-108.57 %-3098.5
   4.12 -.005165 %-125.92 %-3745.1
   4.13 -.005550 %-135.30 %-4177.1
   4.14 -.005711 %-139.24 %-4371.1
   4.15 -.005765 %-140.55 %-4310.7
   4.16 -.005791 %-141.18 %-3996.6
   4.17 -.005805 %-141.51 %-3426.4
   4.18 -.005828 %-142.07 %-2600.0
   4.19 -.005849 %-142.59 %-1518.0
   4.21 -.005908 %-144.02 -736.3
   4.22 -.005919 %-144.30 -363.7
   4.23 -.005932 %-144.62 -184.9
   4.24 -.005981 %-145.81 -103.3
   4.25 -.005983 %-145.86  -65.2
   4.26 -.006004 %-146.37  -52.3
   4.27 -.006010 %-146.51  -48.1
   4.28 -.006025 %-146.88  -45.8
   4.30 -.006029 %-146.97  -42.5
   4.31 0.002586  63.05  625.2
   4.32 0.007626 186.03 1561.4
   4.33 0.010056 245.33 2494.6
   4.34 0.011222 273.80 3289.7
   4.35 0.011772 287.22 3886.6
   4.36 0.012082 294.81 4258.7
   4.37 0.012218 298.12 4384.9
   4.38 0.012310 300.36 4263.4
   4.40 0.012335 300.98 3886.1
   4.41 0.012387 302.25 3255.8
   4.42 0.012408 302.77 2368.3
   4.43 0.012441 303.56 1225.2
   4.44 0.012461 304.06  608.2
   4.45 0.012432 303.34  309.0
   4.46 0.012451 303.81  165.0
   4.47 0.012454 303.89   93.9
   4.49 0.012460 304.02   56.0
   4.50 0.012480 304.52   38.3
   4.51 0.012463 304.10   26.1
   4.52 0.012455 303.90   18.1
   4.53 0.004873 118.85 -573.2
   4.54 -.000720 -17.56 %-1485.5
   4.55 -.003396 -82.79 %-2418.2
   4.56 -.004715 %-114.96 %-3228.4
   4.58 -.005389 %-131.37 %-3848.4
   4.59 -.005702 %-139.01 %-4245.6
   4.60 -.005865 %-142.98 %-4399.9
   4.61 -.005958 %-145.25 %-4304.8
   4.62 -.006000 %-146.26 %-3954.9
   4.63 -.005999 %-146.23 %-3344.8
   4.64 -.006023 %-146.83 %-2479.7
   4.65 -.006056 %-147.62 %-1359.3
   4.67 -.006004 %-146.37 -665.7
   4.68 -.006025 %-146.89 -330.1
   4.69 -.005989 %-146.00 -160.7
   4.70 -.005960 %-145.31  -72.8
   4.71 -.005969 %-145.52  -29.3
   4.72 -.005978 %-145.74   -6.8
   4.73 -.005949 %-145.03    6.9
   4.74 -.005922 %-144.37   15.4
   4.76 -.005232 %-127.55   72.7
   4.77 0.003892  94.91  821.0
   4.78 0.008359 203.90 1772.6
   4.79 0.010534 256.99 2687.5
   4.80 0.011590 282.77 3456.3
   4.81 0.012079 294.73 4014.9
   4.82 0.012342 301.16 4343.8
   4.83 0.012514 305.34 4432.1
   4.85 0.012555 306.36 4264.4
   4.86 0.012581 306.97 3838.6
   4.87 0.012597 307.38 3157.2
   4.88 0.012587 307.13 2218.1
   4.89 0.012587 307.14 1082.7
   4.90 0.012571 306.74  526.0
   4.91 0.012559 306.45  253.2
   4.92 0.012550 306.24  118.8
   4.93 0.012535 305.86   51.1
   4.95 0.012504 305.11   12.3
   4.96 0.012490 304.76   -9.6
   4.97 0.012500 305.02  -17.2
   4.98 0.012493 304.83  -21.4
   4.99 0.003598  87.74 -707.0
   5.00 -.001240 -30.24 %-1637.6
   5.01 -.003574 -87.13 %-2554.8
   5.02 -.004728 %-115.26 %-3334.7
   5.04 -.005235 %-127.62 %-3912.8
   5.05 -.005489 %-133.81 %-4262.5
   5.06 -.005639 %-137.48 %-4372.1
   5.07 -.005719 %-139.42 %-4234.7
   5.08 -.005754 %-140.28 %-3847.5
   5.09 -.005821 %-141.91 %-3211.4
   5.10 -.005827 %-142.05 %-2318.7
   5.11 -.005802 %-141.44 %-1168.3
   5.13 -.005845 %-142.49 -574.6
   5.14 -.005852 %-142.67 -289.1
   5.15 -.005864 %-142.96 -152.0
   5.16 -.005900 %-143.84  -90.6
   5.17 -.005916 %-144.23  -60.2
   5.18 -.005887 %-143.52  -41.0
   5.19 -.005919 %-144.30  -32.4
   5.20 -.005966 %-145.45  -30.7
   5.22 -.003423 -83.46  166.8
   5.23 0.004797 116.98  957.7
   5.24 0.008664 211.35 1897.3
   5.25 0.010592 258.41 2784.9
   5.26 0.011488 280.30 3508.4
   5.27 0.011932 291.12 4022.9
   5.28 0.012186 297.33 4307.1
   5.29 0.012301 300.14 4344.5
   5.30 0.012390 302.32 4132.6
   5.32 0.012441 303.55 3671.2
   5.33 0.012443 303.61 2950.8
   5.34 0.012446 303.69 1969.4
   5.35 0.012448 303.73  961.7
   5.36 0.012452 303.83  479.4
   5.37 0.012436 303.44  240.5
   5.38 0.012460 304.02  126.0
   5.39 0.012434 303.40   64.9
   5.41 0.012444 303.64   31.7
   5.42 0.012474 304.37   16.8
   5.43 0.012476 304.41    8.5
   5.44 0.011311 275.96  -83.9
   5.45 0.002360  57.55 -845.5
   5.46 -.001916 -46.72 %-1794.6
   5.47 -.003975 -96.90 %-2700.7
   5.48 -.004962 %-120.98 %-3453.0
   5.50 -.005468 %-133.30 %-4000.2
   5.51 -.005739 %-139.91 %-4319.0
   5.52 -.005863 %-142.93 %-4391.0
   5.53 -.005896 %-143.75 %-4211.6
   5.54 -.005998 %-146.22 %-3782.6
   5.55 -.005978 %-145.73 %-3091.5
   5.56 -.005986 %-145.93 %-2142.8
   5.57 -.005975 %-145.67 %-1041.0
   5.59 -.005914 %-144.19 -506.8
   5.60 -.005925 %-144.44 -246.4
   5.61 -.005970 %-145.53 -120.4
   5.62 -.005983 %-145.86  -57.4
   5.63 -.006003 %-146.34  -27.5
   5.64 -.005993 %-146.09  -14.0
   5.65 -.006012 %-146.57   -9.7
   5.66 -.006004 %-146.36   -5.6
   5.67 -.001418 -34.57  343.2
   5.69 0.005722 139.55 1179.0
   5.70 0.009188 224.15 2117.3
   5.71 0.010806 263.65 2968.9
   5.72 0.011604 283.13 3652.8
   5.73 0.011968 292.02 4118.7
   5.74 0.012145 296.35 4343.9
   5.75 0.012241 298.67 4321.9
   5.76 0.012290 299.88 4046.9
   5.78 0.012285 299.76 3516.7
   5.79 0.012296 300.02 2729.8
   5.80 0.012298 300.08 1687.8
   5.81 0.012283 299.70  805.3
   5.82 0.012260 299.15  378.3
   5.83 0.012253 298.96  174.6
   5.84 0.012218 298.11   72.5
   5.85 0.012202 297.73   22.1
   5.87 0.012245 298.77   -0.3
   5.88 0.012233 298.48  -11.4
   5.89 0.012263 299.22  -12.7
   5.90 0.008972 218.88 -263.2
   5.91 0.001131  27.59 %-1071.0
   5.92 -.002595 -63.26 %-2008.2
   5.93 -.004364 %-106.40 %-2873.0
   5.94 -.005236 %-127.65 %-3573.1
   5.96 -.005660 %-137.99 %-4062.8
   5.97 -.005807 %-141.58 %-4313.9
   5.98 -.005949 %-145.03 %-4326.4
   5.99 -.006026 %-146.91 %-4092.2
   6.00 -.006038 %-147.19 %-3600.0
   6.01 -.006069 %-147.96 %-2855.6
   6.02 -.006074 %-148.07 %-1852.8
   6.03 -.006066 %-147.88 -892.3
   6.05 -.006082 %-148.26 -435.7
   6.06 -.006059 %-147.71 -215.2
   6.07 -.005964 %-145.39  -99.8
   6.08 -.005988 %-145.98  -43.0
   6.09 -.006011 %-146.53  -16.0
   6.10 -.006069 %-147.96   -2.0
   6.11 -.006097 %-148.63    0.7
   6.12 -.006088 %-148.43   -0.9
   6.14 0.000164   4.00  478.1
   6.15 0.006453 157.40 1351.3
   6.16 0.009450 230.53 2279.6
   6.17 0.010886 265.59 3102.1
   6.18 0.011601 283.06 3741.2
   6.19 0.011946 291.48 4161.6
   6.20 0.012143 296.29 4353.9
   6.21 0.012268 299.34 4300.4
   6.22 0.012277 299.56 3990.2
   6.24 0.012320 300.60 3422.1
   6.25 0.012383 302.14 2599.2
   6.26 0.012327 300.77 1514.2
   6.27 0.012350 301.35  741.6
   6.28 0.012334 300.96  369.0
   6.29 0.012295 300.01  183.7
   6.30 0.012326 300.76   91.5
   6.31 0.012309 300.35   43.1
   6.33 0.012308 300.32   16.0
   6.34 0.012369 301.82    6.5
   6.35 0.012347 301.27    3.5
   6.36 0.007115 173.55 -402.6
   6.37 0.000249   6.06 %-1260.8
   6.38 -.002971 -72.43 %-2191.9
   6.39 -.004576 %-111.57 %-3036.8
   6.40 -.005348 %-130.37 %-3702.4
   6.42 -.005732 %-139.74 %-4151.5
   6.43 -.005915 %-144.20 %-4365.4
   6.44 -.006022 %-146.82 %-4330.1
   6.45 -.006062 %-147.78 %-4042.7
   6.46 -.006055 %-147.62 %-3497.9
   6.47 -.006029 %-146.97 %-2688.6
   6.48 -.005992 %-146.07 %-1621.2
   6.49 -.005996 %-146.17 -773.6
   6.50 -.006006 %-146.42 -367.7
   6.52 -.006016 %-146.66 -167.8
   6.53 -.005992 %-146.09  -69.3
   6.54 -.005981 %-145.81  -20.2
   6.55 -.006020 %-146.75   -0.2
   6.56 -.006091 %-148.48    1.7
   6.57 -.006067 %-147.91   -1.8
   6.58 -.006055 %-147.62   -7.4
   6.59 0.001498  36.52  568.3
   6.61 0.006940 169.27 1459.4
   6.62 0.013921 339.72 2710.2
   6.63 0.017427 425.40 3952.2
   6.64 0.014546 354.98 4643.5
   6.65 0.013242 323.12 4945.8
   6.66 0.012631 308.21 4933.9
   6.67 0.012359 301.55 4641.6
   6.68 0.012213 297.99 4077.9
   6.70 0.012127 295.90 3246.2
   6.71 0.012089 294.97 2158.9
   6.72 0.012051 294.04  815.7
   6.73 0.012034 293.61  -95.7
   6.74 0.012003 292.86 -662.1
   6.75 0.011997 292.71 -664.5
   6.76 0.011964 291.91 -323.2
   6.77 0.011912 290.65 -171.8
   6.79 0.011937 291.26 -100.3
   6.80 0.011922 290.88  -67.3
   6.81 0.011898 290.30  -51.0
   6.82 0.005066 123.57 -567.4
   6.83 -.000925 -22.55 %-1452.4
   6.84 -.003748 -91.38 %-2375.3
   6.85 -.005122 %-124.87 %-3185.8
   6.86 -.005747 %-140.11 %-3805.7
   6.88 -.006074 %-148.08 %-4204.9
   6.89 -.006243 %-152.20 %-4364.7
   6.90 -.006270 %-152.86 %-4274.5
   6.91 -.006303 %-153.66 %-3936.5
   6.92 -.006314 %-153.91 %-3342.2
   6.93 -.006374 %-155.38 %-2498.7
   6.94 -.006386 %-155.67 %-1402.4
   6.95 -.006382 %-155.59 -671.5
   6.97 -.006372 %-155.34 -324.4
   6.98 -.006376 %-155.44 -158.0
   6.99 -.006376 %-155.44  -79.7
   7.00 -.006380 %-155.54  -41.0
   7.01 -.006375 %-155.42  -22.8
   7.02 -.006416 %-156.40  -18.8
   7.03 -.006445 %-157.13  -17.2
   7.04 -.006337 %-154.49   -7.7
   7.06 0.002661  64.90  693.2
   7.07 0.007470 182.22 1633.1
   7.08 0.009096 221.89 2503.5
   7.09 0.009566 233.37 3193.9
   7.10 0.009842 240.11 3683.4
   7.11 0.014640 357.28 4315.4
   7.12 0.013887 338.87 4595.3
   7.13 0.013053 318.50 4527.1
   7.14 0.012638 308.38 4155.6
   7.16 0.012461 304.04 3500.8
   7.17 0.012407 302.73 2575.1
   7.18 0.012381 302.10 1393.6
   7.19 0.012402 302.62  769.7
   7.20 0.012407 302.74  447.0
   7.21 0.012416 302.96  203.8
   7.22 0.012390 302.31  -45.1
   7.23 0.012383 302.16 -308.9
   7.25 0.012419 303.03 -168.8
   7.26 0.012423 303.11  -66.0
   7.27 0.012442 303.58  -17.1
   7.28 0.004182 101.98 -633.1
   7.29 -.001072 -26.14 %-1551.1
   7.30 -.003571 -87.06 %-2476.8
   7.31 -.004835 %-117.87 %-3278.4
   7.32 -.005448 %-132.82 %-3884.5
   7.34 -.005717 %-139.36 %-4261.0
   7.35 -.005884 %-143.44 %-4396.1
   7.36 -.005969 %-145.52 %-4284.2
   7.37 -.005979 %-145.76 %-3916.8
   7.38 -.006010 %-146.51 %-3291.7
   7.39 -.006042 %-147.28 %-2411.0
   7.40 -.005985 %-145.92 %-1265.8
   7.41 -.005966 %-145.44 -612.9
   7.43 -.005973 %-145.62 -296.2
   7.44 -.005962 %-145.34 -137.1
   7.45 -.005941 %-144.83  -57.9
   7.46 -.005919 %-144.30  -17.3
   7.47 -.005910 %-144.09    6.2
   7.48 -.005898 %-143.79   18.2
   7.49 -.005950 %-145.05   18.6
   7.50 -.003643 -88.80  195.2
   7.52 0.004710 114.87  978.8
   7.53 0.008698 212.18 1916.5
   7.54 0.010635 259.47 2802.3
   7.55 0.011542 281.61 3527.3
   7.56 0.012036 293.67 4044.7
   7.57 0.012270 299.39 4329.3
   7.58 0.012328 300.81 4365.3
   7.59 0.012359 301.56 4150.0
   7.61 0.012336 301.00 3678.1
   7.62 0.012320 300.61 2950.9
   7.63 0.012349 301.32 1966.4
   7.64 0.012424 303.14  941.3
   7.65 0.012440 303.54  451.9
   7.66 0.012439 303.52  217.0
   7.67 0.012412 302.85  103.7
   7.68 0.012445 303.66   50.8
   7.70 0.012442 303.59   29.9
