Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.005559 %-135.52 -427.4
   0.01 -.005743 %-140.01 -791.2
   0.02 -.005863 %-142.92 %-1084.0
   0.03 -.005910 %-144.08 %-1298.5
   0.04 -.005859 %-142.84 %-1426.4
   0.06 -.005904 %-143.92 %-1475.8
   0.07 -.005895 %-143.71 %-1442.1
   0.08 -.005910 %-144.08 %-1327.0
   0.09 -.005919 %-144.30 %-1130.1
   0.10 -.005939 %-144.77 -851.9
   0.11 -.005974 %-145.64 -493.5
   0.12 -.005996 %-146.18  -53.2
   0.13 -.006008 %-146.46  -35.1
   0.14 -.005984 %-145.89  -25.7
   0.16 -.006041 %-147.27  -28.1
   0.17 -.006032 %-147.05  -31.6
   0.18 -.003898 -95.03  135.3
   0.19 0.004460 108.78  913.5
   0.20 0.008494 207.20 1858.0
   0.21 0.010418 254.16 2748.0
   0.22 0.011385 277.79 3483.3
   0.23 0.011896 290.26 4014.2
   0.24 0.012123 295.81 4309.8
   0.26 0.012253 298.96 4360.3
   0.27 0.012298 300.06 4157.9
   0.28 0.012340 301.09 3704.9
   0.29 0.012376 301.97 2993.1
   0.30 0.012405 302.70 2026.9
   0.31 0.012388 302.27  995.4
   0.32 0.012358 301.53  493.3
   0.33 0.012392 302.36  250.1
   0.34 0.012378 302.04  126.5
   0.36 0.012410 302.80   65.8
   0.37 0.012455 303.91   40.7
   0.38 0.012453 303.85   28.4
   0.39 0.012465 304.16   24.1
   0.40 0.012460 304.04   20.6
   0.41 0.004217 102.85 -615.9
   0.42 -.001033 -25.19 %-1539.2
   0.43 -.003554 -86.65 %-2466.1
   0.44 -.004803 %-117.09 %-3267.3
   0.45 -.005393 %-131.49 %-3876.1
   0.47 -.005686 %-138.61 %-4256.1
   0.48 -.005845 %-142.49 %-4396.6
   0.49 -.005884 %-143.44 %-4282.4
   0.50 -.005953 %-145.13 %-3913.5
   0.51 -.005985 %-145.92 %-3289.8
   0.52 -.006002 %-146.32 %-2408.3
   0.53 -.005989 %-146.01 %-1268.0
   0.54 -.005973 %-145.61 -618.2
   0.55 -.005980 %-145.78 -303.7
   0.57 -.005942 %-144.85 -146.2
   0.58 -.005948 %-145.00  -69.3
   0.59 -.005906 %-143.98  -26.8
   0.60 -.005905 %-143.96   -3.7
   0.61 -.005920 %-144.31    7.0
   0.62 -.005966 %-145.45   11.6
   0.63 -.005846 %-142.52   20.2
   0.64 0.003048  74.33  708.4
   0.66 0.007861 191.74 1639.0
   0.67 0.010198 248.79 2556.9
   0.68 0.011338 276.62 3337.7
   0.69 0.011897 290.27 3918.7
   0.70 0.012172 296.98 4274.3
   0.71 0.012355 301.47 4390.2
   0.72 0.012393 302.40 4256.8
   0.73 0.012443 303.62 3871.3
   0.74 0.012431 303.31 3226.9
   0.76 0.012402 302.61 2319.4
   0.77 0.012411 302.83 1166.5
   0.78 0.012437 303.48  568.7
   0.79 0.012430 303.29  276.4
   0.80 0.012433 303.37  133.0
   0.81 0.012426 303.20   61.6
   0.82 0.012395 302.44   23.4
   0.83 0.012419 303.01    5.0
   0.84 0.012380 302.07   -3.1
   0.85 0.012386 302.22   -7.5
   0.87 0.005760 140.49 -517.5
   0.88 -.000252  -6.13 %-1397.4
   0.89 -.003187 -77.70 %-2328.2
   0.90 -.004579 %-111.63 %-3147.2
   0.91 -.005261 %-128.27 %-3778.5
   0.92 -.005609 %-136.75 %-4189.7
   0.93 -.005739 %-139.91 %-4358.2
   0.94 -.005794 %-141.24 %-4277.4
   0.96 -.005840 %-142.38 %-3948.2
   0.97 -.005826 %-142.04 %-3360.7
