Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.95 0.004735 115.47    2.6
   1.97 0.004734 115.47    1.9
   1.98 0.004736 115.50    1.5
   1.99 0.004740 115.59    1.4
   2.00 0.004742 115.64    1.4
   2.01 0.004742 115.65    1.5
   2.02 0.004743 115.68    1.6
   2.03 0.004743 115.68    1.6
   2.04 0.004743 115.68    1.7
   2.06 0.004747 115.77    2.1
   2.07 0.004749 115.81    2.5
   2.08 0.004752 115.89    2.9
   2.09 0.004752 115.90    3.0
   2.10 0.004753 115.93    3.0
   2.11 0.004755 115.97    2.9
   2.12 0.004756 116.00    3.0
   2.13 0.004757 116.03    3.1
   2.14 0.004757 116.02    3.0
   2.16 0.004759 116.05    2.9
   2.17 0.004760 116.09    2.7
   2.18 0.004763 116.17    2.6
   2.19 0.004764 116.18    2.5
   2.20 0.004766 116.24    2.5
   2.21 0.004768 116.28    2.7
   2.22 0.004769 116.31    2.8
   2.24 0.004771 116.35    2.9
   2.25 0.004771 116.36    3.0
   2.26 0.004772 116.39    3.0
   2.27 0.004773 116.42    3.0
   2.28 0.004774 116.44    2.8
   2.29 0.004772 116.39    2.4
   2.30 0.004772 116.38    1.9
   2.31 0.004774 116.44    1.6
   2.33 0.004775 116.46    1.4
   2.34 0.004778 116.53    1.4
   2.35 0.004781 116.60    1.6
   2.36 0.004782 116.62    1.8
   2.37 0.004783 116.65    2.1
   2.38 0.004783 116.64    2.2
   2.39 0.004781 116.60    2.1
   2.40 0.004782 116.62    2.1
   2.42 0.004783 116.65    2.2
   2.43 0.004786 116.71    2.1
   2.44 0.004786 116.73    1.8
   2.45 0.004788 116.77    1.8
   2.46 0.004789 116.81    1.7
   2.47 0.004792 116.87    1.8
   2.48 0.004794 116.91    2.2
   2.49 0.004795 116.95    2.6
   2.51 0.004795 116.95    2.9
   2.52 0.004796 116.98    3.0
   2.53 0.004797 117.00    3.0
   2.54 0.004800 117.07    2.9
   2.55 0.004801 117.08    2.8
   2.56 0.004800 117.06    2.6
   2.57 0.004801 117.09    2.4
   2.59 0.004801 117.09    2.0
   2.60 0.004801 117.08    1.7
   2.61 0.004803 117.13    1.5
   2.62 0.004805 117.19    1.6
   2.63 0.004805 117.19    1.6
   2.64 0.004806 117.20    1.5
   2.65 0.004806 117.21    1.4
   2.66 0.004808 117.25    1.4
   2.68 0.004809 117.28    1.6
   2.69 0.004812 117.36    2.0
   2.70 0.004812 117.36    2.2
   2.71 0.004813 117.38    2.3
   2.72 0.004815 117.44    2.5
   2.73 0.004817 117.47    2.5
   2.74 0.004818 117.50    2.6
   2.75 0.004817 117.49    2.6
   2.77 0.004817 117.48    2.4
   2.78 0.004817 117.49    2.2
   2.79 0.004818 117.51    1.9
   2.80 0.004817 117.49    1.5
   2.81 0.004818 117.50    1.1
   2.82 0.004820 117.55    1.0
   2.83 0.004819 117.53    0.8
   2.84 0.004819 117.53    0.6
   2.86 0.004818 117.51    0.4
   2.87 0.004818 117.51    0.3
   2.88 0.004820 117.55    0.4
   2.89 0.004821 117.58    0.6
   2.90 0.004823 117.63    0.7
   2.91 0.004823 117.63    0.9
   2.92 0.004823 117.64    1.1
   2.93 0.004825 117.68    1.2
   2.95 0.004826 117.70    1.3
   2.96 0.004825 117.69    1.5
   2.97 0.004824 117.65    1.4
   3.04 0.004829 117.78    1.7
   3.05 0.004827 117.73    1.6
   3.06 0.004826 117.71    1.3
   3.07 0.004827 117.73    1.1
   3.08 0.004827 117.72    0.8
   3.09 0.004828 117.75    0.8
   3.10 0.004827 117.72    0.6
   3.11 0.004827 117.71    0.4
   3.13 0.004829 117.78    0.4
   3.14 0.004832 117.83    0.7
   3.15 0.004832 117.86    0.9
   3.16 0.004833 117.88    0.9
   3.17 0.004833 117.87    1.3
   3.18 0.004833 117.88    1.5
   3.19 0.004835 117.91    1.6
   3.20 0.004836 117.94    1.7
   3.21 0.004835 117.92    1.7
   3.23 0.004835 117.93    1.6
   3.24 0.004836 117.93    1.4
   3.25 0.004837 117.97    1.1
   3.26 0.004836 117.95    0.9
   3.27 0.004836 117.95    0.8
   3.28 0.004837 117.96    0.7
   3.29 0.004837 117.98    0.7
   3.31 0.004838 117.98    0.6
   3.32 0.004838 118.00    0.6
   3.33 0.004837 117.96    0.4
   3.34 0.004837 117.97    0.4
   3.35 0.004835 117.91    0.1
   3.36 0.004836 117.95    0.0
   3.37 0.004837 117.97   -0.0
   3.38 0.004839 118.02    0.1
   3.40 0.004838 118.00    0.2
   3.41 0.004838 118.00    0.2
   3.42 0.004838 117.99    0.2
   3.43 0.004838 118.00    0.3
   3.44 0.004840 118.05    0.5
   3.45 0.004842 118.09    0.9
   3.46 0.004843 118.11    1.1
   3.47 0.004842 118.10    1.3
   3.49 0.004844 118.14    1.3
   3.50 0.004843 118.12    1.2
   3.51 0.004842 118.08    1.0
   3.52 0.004841 118.06    0.9
   3.53 0.004843 118.10    0.8
   3.54 0.004841 118.07    0.5
   3.55 0.004839 118.01    0.0
   3.56 0.004839 118.01   -0.5
   3.58 0.004839 118.02   -0.8
   3.59 0.004840 118.04   -0.8
   3.60 0.004842 118.09   -0.6
   3.61 0.004842 118.09   -0.5
   3.62 0.004841 118.06   -0.3
   3.63 0.004839 118.02   -0.2
   3.64 0.004839 118.03   -0.2
   3.65 0.004840 118.03   -0.2
   3.67 0.004841 118.06    0.1
   3.68 0.004840 118.04    0.1
   3.69 0.004841 118.07    0.1
   3.70 0.004841 118.07    0.1
   3.71 0.004842 118.08    0.1
   3.72 0.004845 118.15    0.3
   3.73 0.004844 118.13    0.6
   3.74 0.004789 116.80   -3.3
   3.76 0.004739 115.57  -10.5
   3.77 0.003401  82.95 -119.3
   3.78 0.004670 113.89 -110.4
   3.79 0.004624 112.77 -102.6
   3.80 0.004533 110.55  -98.7
   3.81 0.004451 108.56  -96.8
   3.82 0.004375 106.70  -95.2
   3.83 0.004305 104.99  -92.6
   3.85 0.004236 103.31  -87.6
   3.86 0.004170 101.71  -79.0
   3.87 0.004106 100.14  -66.0
   3.88 0.004041  98.54  -52.7
   3.89 0.003978  97.02  -38.2
   3.90 0.003917  95.52 -139.5
   3.91 0.003857  94.05 -137.3
   3.92 0.003796  92.57 -132.5
   3.94 0.003735  91.09 -129.2
   3.95 0.003676  89.64 -126.6
   3.96 0.003617  88.21 -124.7
   3.97 0.003559  86.78 -123.0
   3.98 0.003500  85.37 -121.6
   3.99 0.003443  83.97 -120.2
   4.00 0.003387  82.59 -119.0
   4.01 0.003331  81.22 -117.9
   4.03 0.003274  79.85 -116.9
