Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.82 -.000020  -0.48    3.4
   1.83 -.000017  -0.41    1.9
   1.84 -.000012  -0.30    1.6
   1.85 -.000015  -0.37    1.0
   1.86 -.000015  -0.38    0.3
   1.88 -.000015  -0.36    0.0
   1.89 -.000013  -0.31    0.6
   1.90 -.000015  -0.37    1.0
   1.91 -.000017  -0.42    0.6
   1.92 -.000270  -6.58  -19.3
   1.93 -.000006  -0.14  -15.1
   1.94 0.000551  13.43   31.9
   1.96 -.000084  -2.05   21.8
   1.97 0.000037   0.90   22.1
   1.98 -.003240 -79.00 -230.0
   1.99 -.003200 -78.02 -434.0
   2.00 -.003143 -76.62 -589.1
   2.01 -.003095 -75.45 -696.8
   2.02 -.002991 -72.92 -753.3
   2.03 -.002875 -70.09 -759.4
   2.04 -.002741 -66.82 -715.4
   2.06 -.002621 -63.91 -647.1
   2.07 -.002513 -61.26 -513.6
   2.08 -.002421 -59.03 -287.4
   2.09 -.002357 -57.47  -72.5
   2.10 -.002318 -56.52  188.3
   2.11 -.002271 -55.36  187.8
   2.12 -.002207 -53.80  182.3
   2.14 -.002097 -51.13  176.6
   2.15 -.001981 -48.29  169.5
   2.16 -.001867 -45.51  165.1
   2.17 -.001754 -42.76  164.2
   2.18 -.001640 -39.98  168.6
   2.19 -.001529 -37.27  177.0
   2.20 -.001418 -34.58  188.4
   2.21 -.001312 -31.99  201.1
   2.23 -.001206 -29.41  212.2
   2.24 -.001100 -26.83  218.9
   2.25 -.000994 -24.23  221.1
   2.26 -.000888 -21.65  219.3
   2.27 -.000785 -19.15  217.0
   2.28 -.000686 -16.72  214.6
   2.29 -.000585 -14.27  212.2
   2.30 -.000488 -11.91  209.6
   2.31 -.000390  -9.51  207.2
   2.33 -.000293  -7.15  204.8
   2.34 -.000197  -4.81  202.6
   2.35 -.000105  -2.56  200.1
   2.36 -.000014  -0.35  197.3
   2.37 0.000066   1.60  193.6
   2.38 0.000156   3.81  190.3
   2.39 0.000243   5.93  187.2
   2.41 0.000328   8.00  184.1
   2.42 0.000410   9.99  180.7
   2.43 0.000491  11.98  177.5
   2.44 0.000573  13.98  174.3
   2.45 0.000653  15.92  171.4
   2.46 0.000732  17.84  168.7
   2.47 0.000808  19.70  166.2
   2.48 0.000883  21.53  163.9
   2.50 0.000955  23.30  161.6
   2.51 0.001024  24.96  158.2
   2.52 0.001093  26.66  155.0
   2.53 0.001162  28.33  151.9
   2.54 0.001228  29.94  148.7
   2.55 0.001292  31.51  145.3
   2.56 0.001354  33.03  141.8
   2.57 0.001415  34.51  138.4
   2.59 0.001476  35.99  135.1
   2.60 0.001535  37.42  131.9
   2.61 0.001593  38.83  128.9
   2.62 0.001649  40.22  126.1
   2.63 0.001706  41.59  123.5
   2.64 0.001762  42.98  121.0
   2.65 0.001818  44.32  118.7
   2.66 0.001873  45.68  116.9
   2.68 0.001930  47.07  115.4
   2.69 0.001988  48.47  114.4
   2.70 0.002045  49.87  113.7
   2.71 0.002101  51.23  113.2
   2.72 0.002156  52.57  112.9
   2.73 0.002211  53.92  112.6
   2.74 0.002265  55.24  112.3
   2.75 0.002318  56.52  111.8
   2.77 0.002367  57.73  110.9
   2.78 0.002418  58.96  109.8
   2.79 0.002469  60.21  108.4
   2.80 0.002518  61.40  106.8
   2.81 0.002566  62.57  105.1
   2.82 0.002612  63.71  103.2
   2.83 0.002658  64.81  101.3
   2.84 0.002704  65.95   99.5
   2.86 0.002749  67.03   97.7
   2.87 0.002795  68.15   96.1
   2.88 0.002839  69.24   94.7
   2.89 0.002881  70.25   93.2
   2.90 0.002923  71.27   91.6
   2.91 0.002963  72.26   90.0
   2.92 0.003005  73.28   88.6
   2.93 0.003045  74.25   87.2
   2.95 0.003084  75.21   85.8
   2.96 0.003124  76.19   84.5
   2.97 0.003161  77.09   83.0
   2.98 0.003197  77.96   81.5
   2.99 0.003235  78.88   80.0
   3.00 0.003272  79.80   78.7
   3.01 0.003309  80.69   77.6
   3.02 0.003345  81.56   76.5
   3.04 0.003380  82.43   75.5
   3.05 0.003414  83.26   74.4
   3.06 0.003446  84.04   73.2
   3.07 0.003478  84.81   71.9
   3.08 0.003511  85.61   70.6
   3.09 0.003543  86.40   69.5
   3.10 0.003571  87.08   68.1
