Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   1.83 0.001218  29.71  310.3
   1.84 0.001559  38.00  320.0
   1.85 -.004802 %-117.07 -180.5
   1.86 0.000642  15.65 -197.2
   1.87 -.000918 -22.39 -350.7
   1.89 0.000675  16.47 -311.5
   1.90 0.001097  26.74 -295.5
   1.91 0.004454 108.63  -73.6
   1.92 -.001534 -37.41  -26.1
   1.93 0.000292   7.11   29.6
   1.94 0.000304   7.41   98.9
   1.95 0.000133   3.23  126.4
   1.96 0.000024   0.58  195.3
   1.98 0.000091   2.22  317.0
   1.99 -.000026  -0.63 -127.7
   2.00 -.000016  -0.38 -143.8
   2.01 0.000860  20.96 -225.1
   2.02 0.001146  27.94 -164.4
   2.03 0.001144  27.89  -72.3
   2.04 0.001141  27.82  324.3
   2.05 0.001139  27.77  222.7
   2.07 0.001136  27.70  249.5
   2.08 0.001134  27.65  265.3
   2.09 0.001132  27.60  253.9
   2.10 0.001130  27.55  218.5
   2.11 0.001128  27.50  173.5
   2.12 0.001125  27.43  103.2
   2.13 0.001123  27.39   17.6
   2.14 0.001121  27.33   -4.5
   2.16 0.001119  27.28   -4.5
